etat_car,marque,annee,boite_vit,adresse_vente,prix,image_link
Occasion,Mitsubishi,2018,Manuelle,"Rufisque,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d07730f9fa4066524b1af198aecf9b2a/-/horizon-files-prod/ed/picture/q56xnmzg/d5f39b66bcfff8dc84cbeb28a579a7c3366ddd0c.jpg
Venant,Jeep,2017,Automatique,"Rufisque,Dakar",12900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c9de81ed2dda1a50c3ae5eaedc5bc9d/-/horizon-files-prod/ed/picture/q8v57g6n/ef74eb79546cdaada0b3521ae7008b41a5ac2f3e.jpg
Occasion,Hyundai,2007,Manuelle,"Keur Massar,Dakar",2490000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb6da52b9876051a7b0160a024d7a94a/-/horizon-files-prod/ed/picture/qrzve4x2/0611a8de0c0c40478f62e71228d3751aa51b4c8d.jpg
Occasion,Mazda,2016,Automatique,"Fenêtre mermoz,Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/469af9067ab2dc15f8d049d1bf4e8961/-/horizon-files-prod/ed/picture/qwe2vk8z/66d550d3ca384d29244d2af51affca6d2682d9e7.jpg
Venant,Jeep,2017,Automatique,"Parcelles Assainies,Dakar",17000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d59a6a83a8edd1a00e6375d5f9bc7990/-/horizon-files-prod/ed/picture/qv4e7k7m/9e58b498d0f4e4e451e461d63ae4ddc144d2d613.jpg
Venant,Mazda,2015,Automatique,"Parcelles Assainies,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/75f3ec6ef1dbbded57dd55a91f6eac2f/-/horizon-files-prod/ed/picture/q785e02n/8f8b386386a3708d602a125007661d5f31ba876f.jpg
Venant,Peugeot,2017,Manuelle,"Guinaw rail,Dakar",6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d7224a391082909b66f9950696e5143a/-/horizon-files-prod/ed/picture/qdekv287/ce4b5af8b6fbe33d334c733f51281e8138e79769.jpg
Occasion,Renault,2015,Manuelle,"Amitié,Dakar",3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a91979611faca8838534a78b63797cb3/-/horizon-files-prod/ed/picture/qrzqwd7n/70479c93d9aba5c0e4b98b491289f751f6bb7023.jpg
Occasion,Nissan,2009,Manuelle,"Parcelles Assainies,Dakar",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7bc9bdfa40a71207d949b318277040e/-/horizon-files-prod/ed/picture/q8v5e977/fb84aa30aca0448b81f067676602c36a952fa89a.jpg
Venant,Hyundai,2018,Automatique,"Guediawaye,Dakar",7900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b77b55da5a5ea4f08ffc40e10c2b87aa/-/horizon-files-prod/ed/picture/q2jqewxq/4652afa28acc0ab825bc2590f6d72420dcfa61b7.jpg
Neuf,BMW,2024,Automatique,"Cité keur gorgui,Dakar",75000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cd5c51f48a5a972d82d2681113f560fc/-/horizon-files-prod/ed/picture/q8v56qvz/ea00ead29fab8ad4721114e3c41ddcbf38523df4.jpg
Venant,Kia,2016,Automatique,"Almadies,Dakar",12500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0a24e8a82538907707a7015975db8fd/-/horizon-files-prod/ed/picture/qkrgdvnj/de84cf2bd07e5b890a9f2f231b398fa9039938c3.jpg
Venant,Mazda,2018,Automatique,"Almadies,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a14a3f82583942e6f31e8b06573a1fc/-/horizon-files-prod/ed/picture/qpd6vjww/17973182090ecbe9b1efbec6a643305d2a9a793a.jpg
Occasion,BMW,2015,Automatique,"Liberte 6 extension,Dakar",6800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f52bc3d5e9893921683b10d4d9e6fce2/-/horizon-files-prod/ed/picture/qxj20k9w/234b4b4e0952487acef33f4d16a7fc193cf394fc.jpg
Occasion,Kia,2010,Automatique,"Golf,Dakar",3300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3577f910578f8086a435a9afb16362ba/-/horizon-files-prod/ed/picture/qgq9n4ne/e806e63e205c7a426555841e999b788d6af9a861.jpg
Occasion,Renault,2018,Automatique,"Point-e,Dakar",7500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/861c346b8eba4b24324efc6b927e8bdf/-/horizon-files-prod/ed/picture/q2jqew52/5de4c95dcddb914f5f0441325e06b0e0d9a3fb25.jpg
Venant,Mazda,2016,Automatique,"Guediawaye,Dakar",8900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/12dd449b30ee6e3bac66172735c4ba55/-/horizon-files-prod/ed/picture/q448z6m5/d9528da5bd763b8c18913d24bd08fd5619a604eb.jpg
Neuf,Jeep,2019,Automatique,"Cité Damel,Dakar",16500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c400582db8ce024a4e2b5fcad9e866d1/-/horizon-files-prod/ed/picture/qkrgj0qj/466194e4df77018c9c626bbf1eebb1b5bd378f35.jpg
Neuf,Kia,2018,Automatique,"Cité Damel,Dakar",13000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a8b45f3809784d7926c42c7e4bd5350/-/horizon-files-prod/ed/picture/q448z675/ea9818ad95a26d7c7b138ae523c79a284fcc5e75.jpg
Venant,Hyundai,2016,Automatique,"Cité Damel,Dakar",12000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b96b021c25d75d56e813ff731b350511/-/horizon-files-prod/ed/picture/qm5pxjdj/df39276517d30250f74870c0ffcf9f190f69e5bb.jpg
Venant,Hyundai,2018,Automatique,"Sacré-cœur,Dakar",13000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/96a028abe2d72017fc5dad66c2092b36/-/horizon-files-prod/ed/picture/qwemnn4d/167f788d31f1752196ebc1cb68b0b002e8422fa8.jpg
Venant,Kia,2017,Automatique,"Sacré-cœur,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87896e939a972dfda7373672cd8d530a/-/horizon-files-prod/ed/picture/qkrmpkp5/4e4641f193ffdda65fa39f7acea81d4f2f5dd5c2.jpg
Venant,Hyundai,2016,Automatique,"Sacré-cœur,Dakar",7700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/04211785425aaff5cad771264c41c28d/-/horizon-files-prod/ed/picture/q8v0kepx/9dc11a780d2eaacaaa2e4fb584e5f93b910e2468.jpg
Venant,Nissan,2018,Automatique,"Point-e,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec23c9eece41b957ba63bebb485e0b7b/-/horizon-files-prod/ed/picture/q9m9nw2v/18f8bdbbbb2389be9a9bd60c12258bb37a5439da.jpg
Occasion,Toyota,2017,Manuelle,"VDN,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45a94e81c1034e6a551c48d2b8433bf6/-/horizon-files-prod/ed/picture/q448z8n4/7ee2d4c0a4d393104f78e70a7e5992c1391c4b85.jpg
Occasion,Fiat,2012,Manuelle,"Yoff,Dakar",4000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b934673698ba494e48d425f47cc70e93/-/horizon-files-prod/ed/picture/qj4r85n8/c4c141c20e68ddb3ca1eede50063d4e13f9b4378.jpg
Occasion,Peugeot,2016,Manuelle,"Patte d‘oie,Dakar",6200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e2d58c57d2743a77e44ea9325328bf07/-/horizon-files-prod/ed/picture/q448zrx2/b8bf650499fd8ae5e6863700a2ad7922ff29a74c.jpg
Venant,Hyundai,2016,Automatique,"Avenue Bourguiba,Dakar",11200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/554ce4a1e8cc356c5776896b0d1325bd/-/horizon-files-prod/ed/picture/qj4r06g8/674494337c55ac2641aca1ff437db3e9c9c59b95.jpg
Venant,Kia,2017,Automatique,"Guediawaye,Dakar",12500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b236ca20312d300294a75281077c5bd5/-/horizon-files-prod/ed/picture/q8v56e97/e696b9f47da1127d44df13363f39a47b17d0fbd6.jpg
Occasion,Ford,2012,Automatique,"Patte d‘oie,Dakar",2700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9b3e6e9287967fce580564deaaff5b4b/-/horizon-files-prod/ed/picture/qwe24vqg/4310360cb0f8e7b1e39ecde039a2770799725ac7.jpg
Venant,Hyundai,2020,Automatique,"Liberte 6,Dakar",17800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e7dd711664b5d9aa45c0bc3bda8c0dcc/-/horizon-files-prod/ed/picture/q448k9km/b9a739329b3beb5896c1648b460d916dffaf1452.jpg
Venant,Ford,2017,Automatique,"Thiès,Thiès",4200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2cf1c0a8c2622327213038fa26587347/-/horizon-files-prod/ed/picture/qxj278gn/b2950a4e7b8537a0de134fe79494bcea7d948414.jpg
Venant,Hyundai,2016,Automatique,"Hlm,Dakar",10300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5c7ca51ee9dd422bbefa679c6b07a3ff/-/horizon-files-prod/ed/picture/qj4rep0z/e8f4fa61bfabbaceb46b8cbc18b12805b297eb10.jpg
Occasion,Renault,2011,Manuelle,"Hlm,Dakar",4700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/65b367d2c5a73c737b9cc910305269fe/-/horizon-files-prod/ed/picture/qxj20w5m/ab37caf1d8f371e3da92b6edf597972f13b590b6.jpg
Occasion,Renault,2011,Automatique,"Mbour,Thiès",18000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3eaa6e8d7d90e57af259acf7784f213d/-/horizon-files-prod/ed/picture/qj4rkdx6/84a9965431c8adfca3a6652ee16441ea8e56f900.jpg
Occasion,Ford,2011,Automatique,"Ouest foire,Dakar",2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d4571f9737f88067b443d208194315f2/-/horizon-files-prod/ed/picture/q448vvpm/6ad06b9d7cf47c52539046159b0ed3e123ca226c.jpg
Venant,Peugeot,2016,Manuelle,"Keur Massar,Dakar",6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3db60b6d8221fdc3dc829052ffa93e62/-/horizon-files-prod/ed/picture/q4489xqm/a8118b1329635e156c13ca3bf264f1b4ef4df830.jpg
Occasion,Toyota,2009,Manuelle,"Cité keur gorgui,Dakar",4800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ad82d15823c2c3c771dc82b9a377504/-/horizon-files-prod/ed/picture/qwe2vn7d/5b4b7d637d1b74f3e4b5444d63e9f65ef565a17e.jpg
Venant,Hyundai,2017,Automatique,"Sacré-cœur,Dakar",9800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/196890dff25561fad54b0baf0b5dd7f6/-/horizon-files-prod/ed/picture/qenq0pkj/b351d42edd503b81c0f68643399fa76af4dd1b44.jpg
Occasion,Mercedes-Benz,2016,Automatique,"Liberte 6 extension,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dac83260f6e5fc3d56cfe1ba98cdf541/-/horizon-files-prod/ed/picture/qrzvp6xq/a9096cdc02c6893cac2e999544abb96a996054c7.jpg
Occasion,Peugeot,2012,Manuelle,"Sacré-cœur,Dakar",3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ab8c2c5aa858b41cb6d62c5d8bea596a/-/horizon-files-prod/ed/picture/qj4r8mw6/e535ef9d0513101aaf78cf854c727b21c34d4e34.jpg
Occasion,Hyundai,2015,Automatique,"Liberte 6,Dakar",7200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/586fedbd7e4c8fde03ca845ab64cedde/-/horizon-files-prod/ed/picture/qrzvp6mq/ecbc89d11546ccc186d8a6b8355860b29353eebd.jpg
Venant,Renault,2015,Automatique,"Golf,Dakar",6850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/084c47e47b3708450034626ce3418a55/-/horizon-files-prod/ed/picture/q0gwe8xk/08464f4262e554ea2b0c6aace0727b789c3c2d7d.jpg
Venant,Nissan,2018,Automatique,"Grand-Dakar,Dakar",14000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c740bf0bd193a0effa486aab9e831380/-/horizon-files-prod/ed/picture/qngxm0n0/28fa485c75888eb2016a6f8265c78840ace70020.jpg
Venant,Jeep,2019,Automatique,"Bel air,Dakar",13000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/783ada11a1b1399689fcc40ad785f7a9/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qq47xxdn/99e408afe7a24b2097557f3d652e2e244214308a.jpg
Venant,Hyundai,2017,Automatique,"Sicap mbao,Dakar",10500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/724aac50054e1521504a296ac2a5c01e/-/horizon-files-prod/ed/picture/q56xn800/436bd1e0a3c975dd673911b1889fda87721e16c7.jpg
Occasion,Kia,2016,Automatique,"VDN,Dakar",8700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/237457f3263f3a6945b0b58393042c24/-/horizon-files-prod/ed/picture/qenq0pjd/253fe965bcb3265d375d67f403d771d0bc76ffea.jpg
Venant,Hyundai,2017,Automatique,"VDN,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2a24d10c6c23a85de74c4d1170e73a5/-/horizon-files-prod/ed/picture/q448vn99/eccd4ad54af80ad817303e43a4c237bc916521b7.jpg
Venant,Kia,2016,Automatique,"Hlm,Dakar",10500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cf9af757b8e6763957182fe9e47e8657/-/horizon-files-prod/ed/picture/qpd6zn8v/6b49d812c7afd655970677b9387a31b381273d61.jpg
Venant,Hyundai,2016,Automatique,"Cité Damel,Dakar",12500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5de06843b04ebab3a837c00777ec397/-/horizon-files-prod/ed/picture/qgq9xpk9/3ca465d08d6d16d60b3e00fee813e7355aec8a48.jpg
Venant,Kia,2020,Automatique,"Sacré-cœur,Dakar",18500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0248c5cb3801980c3f6c261738eb7d54/-/horizon-files-prod/ed/picture/q9m06ze7/275d420b360e18d9a94254760999dcd95a08d873.jpg
Neuf,Nissan,2012,Automatique,"Mermoz,Dakar",3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1dfdfb4cddd1610ee7a34bcf3615af9/-/horizon-files-prod/ed/picture/qrzvp674/7d9b9fdf62ee95990d466c0beafa545ca0176787.jpg
Occasion,BMW,2014,Automatique,"Liberte 6,Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/06e5c94e04ad2199691030a13c44caed/-/horizon-files-prod/ed/picture/qwe2vnk4/4e1c66ddb1e8b67fb58eb129d8bc24bfd0a4263d.jpg
Venant,Hyundai,2017,Automatique,"Sacré-cœur,Dakar",12500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dcabe70340a16eee3a3c1e973dbc080a/-/horizon-files-prod/ed/picture/q7856jg5/4ed6489ff7df228ee0bd5e41d57729459363bddd.jpg
Occasion,Peugeot,2019,Automatique,"Sacré-cœur,Dakar",16500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/17bd800b3dc96d84adfc8f972f938627/-/horizon-files-prod/ed/picture/q0gwe8dk/c7ed77956c792d1ab6371f72fa3be00ce9b58312.jpg
Neuf,Range Rover,2018,Automatique,"Mermoz,Dakar",24000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f83c57284f7313d6a2ae359336cccde/-/horizon-files-prod/ed/picture/q8v5ekkj/d3532f3ab4f68ba23b82c49ed3d4b48e79b6b473.jpg
Occasion,Lexus,2017,Automatique,"Sacré-cœur,Dakar",18500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60d61337c057eb73d86ffee95bd4f165/-/horizon-files-prod/ed/picture/q8v5ek9j/b9360ee3d8c1d7219c5dfab96efd51a86d871cbd.jpg
Occasion,Ford,2020,Automatique,"Sacré-cœur,Dakar",22000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ee92d2be386b2e3f8e171e3c144823b5/-/horizon-files-prod/ed/picture/q448zrre/324eaf4748452122af20d7f6985ae73876e21196.jpg
Neuf,Kia,2023,Automatique,"Mermoz,Dakar",22000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5e930e0afbd1cec7e2825366b43d14c/-/horizon-files-prod/ed/picture/q785exxd/5f2a23b35f414001e0d79ae694ec75d02f1536eb.jpg
Venant,Mazda,2016,Automatique,"Sacré-cœur,Dakar",10500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/238f816f21a7743e2cafe5ba401b6678/-/horizon-files-prod/ed/picture/q2jqe8k8/ef092886d0818e22ad6046d3388787baea175bcb.jpg
Occasion,Citroen,2017,Manuelle,"Liberte 6,Dakar",3700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9b865c3cc77256b37b9a42e591ec2494/-/horizon-files-prod/ed/picture/q448zrne/6d21c8a5af32811ad4675bc638fff4edc85312aa.jpg
Occasion,Renault,1996,Manuelle,"Hann maristes,Dakar",900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/59992cb8bbef6a7649bc89114d6498d4/-/horizon-files-prod/ed/picture/qwe2vp6g/145ac31e279e7e9df1e201175447ea9f5ef3cf9a.jpg
Neuf,Toyota,2019,Automatique,"Grand-Dakar,Dakar",25000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b442ceb16b502edf9faa017310312c47/-/horizon-files-prod/ed/picture/q785exw8/f2b6309e41ee6372c5bf91fc00339f9bc2529150.jpg
Réconditionné,Toyota,2019,Automatique,"Grand-Dakar,Dakar",16000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8dd535b9badc07fa69d147b8532640c/-/horizon-files-prod/ed/picture/q2jqe8q6/c7e369632212abbd745c0f38435a00b11b33b165.jpg
Venant,Range Rover,2018,Automatique,"Plateau,Dakar",40000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/903849ea213d8d7004f7c3c23c32dcbf/-/horizon-files-prod/ed/picture/q9m9vpm0/8c38339da2d8187a310eb600d75a52570d4db4f3.jpg
Neuf,Toyota,2020,Automatique,"Grand-Dakar,Dakar",45000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5486517794da6be6a9b31368134ae550/-/horizon-files-prod/ed/picture/q9m965rx/dfb33a2c6f927902651bdd9ac2c3cd06a841fafa.jpg
Occasion,Mazda,2017,Automatique,"Cambérène,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/34e0886be907b7d0008c453c919af195/-/horizon-files-prod/ed/picture/qv4e8vpg/fabbd4164b88b07528884310bcca959e620f3f41.jpg
Occasion,Nissan,2012,Manuelle,"Dieuppeul,Dakar",4100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aca05536205c15bec2b0cd93371e1906/-/horizon-files-prod/ed/picture/qj4r85mg/e99f1b1225ce7d8e441d8d5774c25761daab09dd.jpg
Occasion,Mitsubishi,2013,Automatique,"Liberte 6,Dakar",6000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7af71d9f75dc75b2a5ee94741e46fb3/-/horizon-files-prod/ed/picture/qxj20wdz/79e2c802795ef02f1f0dfc7d4e1d9c1e8417ceba.jpg
Occasion,Hyundai,2011,Automatique,"Liberte 6,Dakar",5800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0b930efdb8cc6e6e6f011ccb268effdb/-/horizon-files-prod/ed/picture/q785exv8/c138c979a35d3689e0051fe55dab8d12e8ab4614.jpg
Occasion,Mazda,2018,Automatique,"Biscuiterie,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6dc650303205eae8957b22383cb38f7d/-/horizon-files-prod/ed/picture/qwe2vgq6/fb714180670cc57901513765989d3a0f8b9ef594.jpg
Venant,Hyundai,2016,Automatique,"Liberte 6,Dakar",12400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/76b6dc53dddd43e3f4fcd21830260813/-/horizon-files-prod/ed/picture/qq47j9pe/d74334fea44385b4f7918128f351e2078b3a7015.jpg
Venant,Hyundai,2016,Automatique,"Liberte 6,Dakar",5300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fbb95a47eeb03ea9d0fe7d6211fb89a2/-/horizon-files-prod/ed/picture/qenq09gx/d764853fa67b021a35a10d38c916cd6b62a4c6e9.jpg
Venant,Ford,2015,Automatique,"Liberte 6,Dakar",8300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ca146f9b622019187eff341af8f1ccb/-/horizon-files-prod/ed/picture/qdekv0x0/58d79eb64348010b43d125cdfca4e71b93b61660.jpg
Venant,Mitsubishi,2016,Automatique,"Liberte 6,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e2c7f08d6ac21d9fba30403628bc8209/-/horizon-files-prod/ed/picture/qxj20g54/0d11cda4f6880c94d06cd99001663774cc20869f.jpg
Occasion,Autres,2012,Manuelle,"Mbao,Dakar",15000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bba20b7720043a6e84fb4d45cb55338c/-/horizon-files-prod/ed/picture/qngx6v60/8766f07f4a9793f0fc5ca208024756639ee2bda5.jpg
Venant,Peugeot,2015,Automatique,"Liberte 6,Dakar",6400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a091dd1395232c21694b99ed5cba070d/-/horizon-files-prod/ed/picture/qq47j90e/e7bfdd15ed3f5454819af919b6c6df20fb822e3d.jpg
Occasion,Ford,2013,Automatique,"Colobane,Dakar",4950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/add9a9d847e0ebb332a7797b68c9b716/-/horizon-files-prod/ed/picture/q6xkenpz/741d684d300ab9e51f035181486a77420c98b55e.jpg
Venant,Citroen,2017,Manuelle,"Golf,Dakar",5900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2ab12fbb00c55be9fb4389db40f1f1a1/-/horizon-files-prod/ed/picture/qrzvpneg/edac632170a7c1f148bc7eaaa98aa09a52e952c2.jpg
Venant,Ford,2016,Automatique,"Guinaw rail,Dakar",4000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/108604726af752e56abfa4e2fabed2ef/-/horizon-files-prod/ed/picture/q2jqe7dq/4c1da0e0b6f3bd6250110ea50f01ce81865af80d.jpg
Occasion,Jeep,2015,Automatique,"Parcelles Assainies,Dakar",8500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/48b66723bd5df259f5212461b22488d6/-/horizon-files-prod/ed/picture/qenq0984/8b5f4e8e30e450d1769d3d22108d7aba7492cdc5.jpg
Venant,Infinity,2015,Automatique,"VDN,Dakar",7500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5276c1a7989a6ede7dd45a424a91891d/-/horizon-files-prod/ed/picture/qrzvpnwj/0277626dc51d010c9fa592f10ff61f80ff909c43.jpg
Venant,Hyundai,2015,Automatique,"Parcelles Assainies,Dakar",6800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cef07e2f993a45f0d457273160cf3e84/-/horizon-files-prod/ed/picture/qxj2m0mq/c0b32a0e6f4fb578710a7cd7048e93218f597cdc.jpg
Venant,Kia,2019,Automatique,"Hlm,Dakar",11500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad9542cebd57598a4f82b4ce19d663a3/-/horizon-files-prod/ed/picture/q8v5ep97/465a546295c2860cee09cad7fbb7e6ba8586daf1.jpg
Occasion,Toyota,2013,Automatique,"Parcelles Assainies,Dakar",5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1881f8d32ce11a4bd0c3c622405057d8/-/horizon-files-prod/ed/picture/qq47j96n/20ba32def5447490538fae6c56f6e3af3f97f52d.jpg
Réconditionné,Citroen,2013,Automatique,"Parcelles Assainies,Dakar",4000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/54d8e8db7768bf1d76dde4865c49dc81/-/horizon-files-prod/ed/picture/q8v5emkn/6f1aab938cfcf3b5dc6b345551b89ce45c3b5805.jpg
Venant,Mazda,2016,Automatique,"Guediawaye,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a3eb6ac5415a0be1b0294bb54f34d78/-/horizon-files-prod/ed/picture/qxj2rrg2/6cf240f5c6560a453b73944d734dfb910a8b466b.jpg
Venant,Hyundai,2016,Automatique,"Plateau,Dakar",10500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b657ba265d703e26360b9a28bf1f66b3/-/horizon-files-prod/ed/picture/qngx65rg/4c59d6066f04224e9f3bba75e3e75ba0d9cb3035.jpg
Venant,Nissan,2016,Automatique,"Dieuppeul,Dakar",8800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d4371ae88e7deb100f7d542eab2c4f40/-/horizon-files-prod/ed/picture/qenq4074/f2479c88e6ba9b00f201d3c2e46361b8f5c076a5.jpg
Venant,Jeep,2016,Automatique,"Dieuppeul,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ed5555d0cd521a1f76379870b12579df/-/horizon-files-prod/ed/picture/qngxmdz9/6197cc5cbeb79aefc9e1cc603b68af7aba794ef8.jpg
Venant,Kia,2016,Automatique,"Nord foire,Dakar",8800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/81520061f745ba7ec5c1e5abcf18c72e/-/horizon-files-prod/ed/picture/qkrgzjrv/f54c03494970eb6bf85eb3ac7da97a40ed54029a.jpg
Occasion,Land Rover,2016,Automatique,"Parcelles Assainies,Dakar",21500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1aacdedb5a1bfd6e353e0de5cc66af74/-/horizon-files-prod/ed/picture/qpd64z8x/c763d4e8bdc677cb3898705db2ff47c1ab53f7e5.jpg
Venant,Range Rover,2016,Automatique,"Sacré-cœur,Dakar",24500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fabad3b7d2577a01f642e61af7b978ca/-/horizon-files-prod/ed/picture/qq47j927/9aa126bd9fec06cbf86b32131eaaa57fd2491543.jpg
Venant,Citroen,2017,Manuelle,"Médina,Dakar",6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7557fbd558b727172b19a0a195825c6/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qv4er7n5/957f44fa14dd98d172dbf368f95eefe0a8690b58.jpg
Occasion,Hyundai,2014,Automatique,"Cité keur gorgui,Dakar",4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28220c68d4ecebf38cfe65c313972dac/-/horizon-files-prod/ed/picture/q6xkenkn/476ea3f946524d48203364826db5559d2d7c1e7f.jpg
Occasion,Jeep,2015,Automatique,"Liberte 6,Dakar",6400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ade6f2152ba5c9e45e6a8ff43b05678/-/horizon-files-prod/ed/picture/q2jq5qqe/8b7a23ce82c739267526bea7d9e00d21ddbe6ca2.jpg
Venant,Mitsubishi,2018,Automatique,"Fass,Dakar",10700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7266113c1bf793379c1a0ae1e23d19b7/-/horizon-files-prod/ed/picture/qq47jz26/554cb6a07915c6ae79ae6d6bdaf7507cd6e88591.jpg
Occasion,Volkswagen,2011,Manuelle,"Colobane,Dakar",2400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6daf074e02936edb87b7ef46074ca4bf/-/horizon-files-prod/ed/picture/qm5pwev6/413fcc889dc2f923fcd48d6a265c904c10ae741d.jpg
