etat_car,marque,annee,boite_vit,adresse_vente,prix,image_link
Occasion,Ford,2012,Automatique,"VDN,Dakar",4800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5498254985db51b2adc19fe08fb3958/-/horizon-files-prod/ed/picture/qj4rnrmr/52595371728b12886d5d3294009f955c41de7f97.jpg
Occasion,Hyundai,2019,Automatique,"Point-e,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/50f1f5e2cabea30a70255344a45d33f1/-/horizon-files-prod/ed/picture/qrzv0ej2/5d6304b3835ee4ae109518df6c4e28aa26e9c38d.jpg
Venant,Hyundai,2016,Automatique,"Nord foire,Dakar",11500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1f6bc1d8458347bae8fdcd6b072191f/-/horizon-files-prod/ed/picture/q785engq/2fd0d749e4a7c8fc9a9bed44adce438993260fba.jpg
Venant,Kia,2016,Automatique,"Nord foire,Dakar",11500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d442e0831fe0ca5c367fc3a332892cdb/-/horizon-files-prod/ed/picture/qv4e7nkj/52c08ff8f8633939c6b63b95e109ff6c47c72f7c.jpg
Venant,Hyundai,2017,Automatique,"Nord foire,Dakar",11500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a4d2bc447ecc7209109e9b3b282a136c/-/horizon-files-prod/ed/picture/q9m9e4g7/30842a6ab65675953134af275fe3038d9c36d258.jpg
Venant,Kia,2016,Automatique,"Nord foire,Dakar",10500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/813b0c5921cb70e47a6aa304d282c080/-/horizon-files-prod/ed/picture/qzvd0w6v/6c5ec3d5659daab6c1e91b05b0f356e5e84f6a7c.jpg
Occasion,Ford,2017,Automatique,"Mermoz,Dakar",5750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f67da161920fcdf6aa32a0301b524356/-/horizon-files-prod/ed/picture/qwe2de6j/b72a66553bf1573b2bf2bed7c20962cc99ebed57.jpg
Occasion,BMW,2016,Automatique,"Patte d‘oie,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4664213fa8690f5e5b293446435a201c/-/horizon-files-prod/ed/picture/qrzvp508/46934d37fa6a4fd8a3325ded3cb9b3f387c04383.jpg
Neuf,Hyundai,2013,Automatique,"Cambérène,Dakar",4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc8d6c93cd919a259fb8b47fa971a8ca/-/horizon-files-prod/ed/picture/q785z2rg/15494f69e78e826fc6bacdcfa10c8a410f80da72.jpg
Occasion,Mercedes-Benz,2014,Automatique,"Mermoz,Dakar",7000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6eb582727f85aeaa2db49b9235ada9b3/-/horizon-files-prod/ed/picture/q448xm59/cf8ec6b990b27d95748474a69183fbe81df5d2a2.jpg
Venant,Ford,2017,Automatique,"Sacré-cœur,Dakar",11300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4aba8f904cd32dd86d48d93130a7bae9/-/horizon-files-prod/ed/picture/qpd6x04p/21e0cd62a9d88587f352cae41363c981e1fe88e5.jpg
Venant,Volkswagen,2018,Automatique,"Sacré-cœur,Dakar",16500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f67d8c2fd44dcb5a0481369fcdf26ba6/-/horizon-files-prod/ed/picture/qj4rkv8d/5a71dec65875ca250da90d86881bb83301462ddf.jpg
Venant,Kia,2016,Automatique,"Sacré-cœur,Dakar",11000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4851b087852412051cb245f2511ec79d/-/horizon-files-prod/ed/picture/qpd6x66m/1f3cf31d7ab2a151a484c992be4399fe5d351c69.jpg
Occasion,Mazda,2013,Automatique,"Patte d‘oie,Dakar",3700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7afe07eb163a610adf0953767caad895/-/horizon-files-prod/ed/picture/qxj25z8v/bd9b4e82ac16535afd2a17bb1b725d5b4fdf9c42.jpg
Occasion,Peugeot,2012,Manuelle,"Golf,Dakar",2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c9e3107e5645ccf53cabc18ff817d49d/-/horizon-files-prod/ed/picture/q8v5e5px/be91fce26d72663334effbcf191d1712e85149df.jpg
Venant,Autres,2015,Automatique,"Thiès,Thiès",230000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/444331ca6b9ad5701ba511f1fb77bd47/-/horizon-files-prod/ed/picture/qenq67vz/0913ec5af1037e88a088a0d79a87570e64f0d53f.jpg
Occasion,Peugeot,2013,Manuelle,"Liberte 6,Dakar",4400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/78bd61aecb0a7f0fb57080a0a4032db4/-/horizon-files-prod/ed/picture/qdekvx04/f83853f2d601dc2c7276b16ebad9db32fda5fc20.jpg
Occasion,Nissan,2011,Automatique,"Liberte 6,Dakar",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0322c87d58dfa7198819d4037f351050/-/horizon-files-prod/ed/picture/qxj25zp8/1d950674baced3579411d4db1aee89e2bdfb4eff.jpg
Occasion,Ford,2018,Automatique,"Almadies,Dakar",6000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d96bcdb7488ce79d294401d5ec419ceb/-/horizon-files-prod/ed/picture/q785e2z5/aefe42bb8c79557a91cca71c3df15b1d58310a2b.jpg
Venant,Chevrolet,2015,Automatique,"Médina,Dakar",7600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5e57f2d494116a7d1487873912b72be5/-/horizon-files-prod/ed/picture/qxj2x872/0d99c040558c7ba311cc7ab1c9804543f18cf9c1.jpg
Venant,Hyundai,2016,Automatique,"Cité Damel,Dakar",10800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/647de7bcd433ae557b858dc27ea8fb0d/-/horizon-files-prod/ed/picture/q6xk4k6j/d7daed0ac31f5b183802844f19b6ace1ea0b1821.jpg
Venant,Nissan,2017,Automatique,"Liberte 6,Dakar",6000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c44b73c032277e208885bee04585e79/-/horizon-files-prod/ed/picture/q8v5jd5z/7cc65895db3a4f16f60a9278810a11d6a0b9fab8.jpg
Venant,Toyota,2015,Manuelle,"Médina,Dakar",7800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b077de603b402bf0d969d00cde6d7477/-/horizon-files-prod/ed/picture/qrzvpzkx/ea3b59d59661d050bb1d96a2be4444499550c257.jpg
Occasion,Mitsubishi,2007,Manuelle,"Ngaparou,Thiès",3900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc61156aaeb0596ed12e8f1ada524877/-/horizon-files-prod/ed/picture/qj4rnp7z/7026570f278c8e799e6b6908aa41189aa1fa4072.jpg
Venant,Ford,2013,Automatique,"Liberte 6,Dakar",3100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21e16e7f821a7c4b39936e853166bf86/-/horizon-files-prod/ed/picture/q448kjjm/5e5b098215e8e7326ef2248aa90e641798c4b0a5.jpg
Réconditionné,Hyundai,2014,Automatique,"Grand-Dakar,Dakar",4200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/33765f36de09a81f65f897c0e0636ee6/-/horizon-files-prod/ed/picture/q8vzpg0j/775bc6f725af1783dddd745b4d9bd2bb2d11d556.jpg
Venant,Peugeot,2019,Automatique,"Liberte 6,Dakar",14500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f99a5e29a29d6b25b8e3cd0d1a2e853d/-/horizon-files-prod/ed/picture/qpd6zz9p/50f998b6a838fef5bed26ef01564d7ae9c7ae2b7.jpg
Occasion,BMW,2020,Automatique,"Mermoz,Dakar",48000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ca4690b2e519b294422af5cceb04676/-/horizon-files-prod/ed/picture/qwe2dj2g/332061c859eea82d826aff95617e1a8a5410161c.jpg
Occasion,Kia,2013,Automatique,"VDN,Dakar",5200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e9cd616efd08c911f27dc2f4f0a10836/-/horizon-files-prod/ed/picture/q448vjn5/df886817478956b1e3dc729769e86fbb1b8ae90e.jpg
Occasion,Ford,2012,Automatique,"VDN,Dakar",6300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60d18d4dbf565a38d64ffe9df53e7206/-/horizon-files-prod/ed/picture/qrzvpdx8/19b486cfe5552ff7e8c3cfae5251cc49ec32fdda.jpg
Venant,Hyundai,2017,Automatique,"VDN,Dakar",11900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03e6091dcf74293fc67cea3011ff7f8c/-/horizon-files-prod/ed/picture/qm5pxeez/713a424ee061ad39085651b082f04c20c4066861.jpg
Venant,Ford,2020,Automatique,"VDN,Dakar",24000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abdc8e36bff5b709c57a66550e3c13e1/-/horizon-files-prod/ed/picture/qgqgvwzn/ebebf028702636dc0991d88ed1ce4d2473f15875.jpg
Venant,Mercedes-Benz,2018,Manuelle,"Cambérène,Dakar",11900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6bfa2601a2afc0f0586a96b3fedc2bef/-/horizon-files-prod/ed/picture/q0gwqzge/104904c7e4beaa889bb1a0014d87f0c0ec5f4183.jpg
Venant,Nissan,2016,Automatique,"Liberte 6,Dakar",7800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c4adee404be75574b2612c9d99b5dc55/-/horizon-files-prod/ed/picture/qngx4xwe/369941ad3a66f42f6a0240ec201da8fa232e88a5.jpg
Neuf,Chevrolet,2017,Automatique,"Hlm,Dakar",8100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb23801ab579c271274e93b37dd46129/-/horizon-files-prod/ed/picture/qdekvpqm/3500e92dad4fd49a72c748933154084b77bb8adc.jpg
Venant,Range Rover,2016,Tiptronic,"Hlm,Dakar",12000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d660baf64739d801c3f4924c0fe3a0d/-/horizon-files-prod/ed/picture/q448z482/5dcdb0a8eb73eb474ad42b01fdd8c53521b68ebc.jpg
Venant,Ford,2015,Automatique,"Hlm,Dakar",8900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d32626800524371dc68fea27c8e1ede3/-/horizon-files-prod/ed/picture/q6xkee2n/efc9bf3c84e3677c9ca0a6074382a684a8bb8de4.jpg
Occasion,Kia,2007,Manuelle,"VDN,Dakar",3200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af9545b9d88b89c271f4b56e4d9356e3/-/horizon-files-prod/ed/picture/q0qxrq8/fdad5eaf1593e8bd1187fd7bf6bbd10a40671710.jpg
Venant,Ford,2016,Automatique,"VDN,Dakar",10900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/84a3500a17ab57b1f28c56353d43735d/-/horizon-files-prod/ed/picture/q9m9pd0n/b12dbed23af91cc4de6ab3c291f6f83c1b13d472.jpg
Venant,Nissan,2016,Automatique,"Médina,Dakar",10700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/caa125421cd2781117a81724a3c166b6/-/horizon-files-prod/ed/picture/qenq0mg6/817a8eeff3c68fa587253443ae7eaf458eb56f53.jpg
Venant,BMW,2016,Automatique,"VDN,Dakar",17500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d8620faebe3817c1eaba30f67adc86f/-/horizon-files-prod/ed/picture/q2jq45pp/b2e77f4cd97bdd75d8fdaa3c12fea850a8ae035e.jpg
