etat_moto,marque,annee,adresse_vente,prix,image_link
Neuf,TVS Motor,2020,"Kaolack,Kaolack",1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fee79fc8c8c20689295bcafe63e74be6/-/horizon-files-prod/ed/picture/qpd6zzgx/a87d577ef01ec9a3e705d6252237c24e79b675e7.jpg
Neuf,Autre,2023,"Mbour,Thiès",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/12d5e091c8319d7ed5ce32e775555bdc/-/horizon-files-prod/ed/picture/qzvdnnk8/30043caf95901c04592566638efc968f9827ecd7.jpg
Neuf,Autre,2024,"Mbour,Thiès",1845000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d76966ca3c6cda12284cd84d96e1744e/-/horizon-files-prod/ed/picture/qm5pxx46/a618538f0c9ccf3d8456267daa724888ea569d21.jpg
Neuf,Autre,2024,"Mbour,Thiès",2580000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/36a7063ddbf2c651dacd0343a8cc3635/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q8v5eedz/c0d65afafe17a2a0fbf7170f61aea153e4f2e78d.jpg
Occasion,CF Moto,2014,"Mbour,Thiès",3985000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/713b016fbf49a73fcd0d1de9dd56567a/-/horizon-files-prod/ed/picture/qenq0vq9/aa0eebacbef2744a2f4f80a8a2beec121492a8c7.jpg
Neuf,TVS Motor,2020,"Kaolack,Kaolack",1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/91c4c3031cb9606b8a951967ac86aa0f/-/horizon-files-prod/ed/picture/qm5pxq6q/64c2b97ce707efa481b32009b597f5816b8eda13.jpg
Neuf,Lifan,2024,"Castor,Dakar",1550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/091c8a8b1611452b4fba7144a8d1b4d4/-/horizon-files-prod/ed/picture/q56x0860/ec5c2d30fadfd2d765529e99648f7238eef82a0d.jpg
Neuf,Zhongyu,2024,"Ouakam,Dakar",350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a229660c6b0eb3f3cb2cd4417ad488ee/-/horizon-files-prod/ed/picture/qrzvprn4/55bc7952e1aa65ae17884ef32eb484ed13a371a7.jpg
Venant,Kymco,2021,"Almadies,Dakar",1900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9066fe4ec99b74a42fb1913834a621b/-/horizon-files-prod/ed/picture/qgq9r9qn/62fd28beceeb8cb4c3624622c577f7ca49ef9a50.jpg
Neuf,Piaggio,2020,"Almadies 2,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/80e1d8167d9f35bb2f8c1e4ef7445f40/-/horizon-files-prod/ed/picture/qenq09vk/61ba00c757ca17ecd0252479cd402cbdd800f6ba.jpg
