details,etat,adresse_vente,prix,image_link
Batterie de voiture 75ah neuve,Neuf,"Plateau,Dakar",38000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/173c94a7bcd200d339f51326f560a8d9/-/horizon-files-prod/ed/picture/q785z5g8/238174af039fbaa7b5bf7552df8f07538bdc4752.jpg
Ensemble Couvre Volant Et Boîte Mouchoir,Neuf,"Grand-Dakar,Dakar",22000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ff3ef708c9592cb0e8cfde61c47a349/-/horizon-files-prod/ed/picture/q9epnp6/dc35e9b55195bbc5aab5f8985fa50aa23ee207c8.png
"Pare-soleil pour pare-brise voiture vitre avant et arrière,",Neuf,"Grand-Dakar,Dakar",8500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f441b71789cc4588f020e4bccd302e8/-/horizon-files-prod/ed/picture/q785qk78/bfbed4765cfd144d4f71c276b23ac53d54101dad.png
CASQUES AXOR POUR MOTOS & SKOOTERS,Neuf,"Plateau,Dakar",29998,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72362ea82042d13f5ec385c4510a89c1/-/horizon-files-prod/ed/picture/q9m9v7vv/cb665eee669ca363fbe1fa2ce76db121f7d27109.jpg
Filtres à huile moteur,Neuf,"VDN,Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64f6db093d23484c4bc60c2363ca862f/-/horizon-files-prod/ed/picture/qv4e6prx/2b2dc379f10332da254eb10825263082ed7ddbec.jpg
GPS sinotrack avec relais arret moteur,Neuf,"Hlm,Dakar",27000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a8ccbdcd3c320a3b02acdc3e997e4d1/-/horizon-files-prod/ed/picture/qzvdzp8x/5c949f76aecb47a43c7b43b8085dd50dc0a25ca0.jpg
Filtres à huile moteur,Neuf,"VDN,Dakar",7500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/038caaac1ff02cb590e854f9a90b1db5/-/horizon-files-prod/ed/picture/qenqkg7j/32f64dac63654d009cbff600df43255d35ea22ef.jpg
Injecteurs,Neuf,"Rufisque,Dakar",80000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d424fd0030acf7f08a57d2c204219afb/-/horizon-files-prod/ed/picture/q8v58ex7/4fecfa404c9b8d05987d5a175ba1c3ac5bb8693c.jpg
pompe de gonflage pneus,Neuf,"Point-e,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/746cd668ca339574cdc627f09aadef72/-/horizon-files-prod/ed/picture/qpd6800r/e1d875a8d2f3036f42009a89e8dd22f984c85dde.png
Écran Android Multifonctions,Neuf,"Guediawaye,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/95ddd184f45142db88b9fe271d2d7ae7/-/horizon-files-prod/ed/picture/q9m9vz60/124ee090f71a71ffe23874c509678a40bcab3734.jpg
Lecteur MP3 Auto,Neuf,"Guediawaye,Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/47e789d641b8db458f1c343b3b64235d/-/horizon-files-prod/ed/picture/q9m9vxmj/112ee7378c8d98aaf5a7d9dc7be4822b5408168f.jpg
Pistolet à eau Haute Pression lavage voiture,Neuf,"Guediawaye,Dakar",7000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fb93cc9eafc7acb5f602ab8723ca520/-/horizon-files-prod/ed/picture/qrzvxm25/6b1982d26428d1ff4709376f96034c3aedee8104.jpg
Casque moto HJC Original,Neuf,"Hann maristes,Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd41439086a54e41901b5688163e4e07/-/horizon-files-prod/ed/picture/qm5pw4w9/77415cc0b35a4d8f5461f39c175972ee2a71a151.jpg
PARE-BRISE de toutes les marques,Neuf,"Médina,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4dd557ffddf133dff01d693248618c65/-/horizon-files-prod/ed/picture/qrzv60qn/a1a8bb6bfb804198ddf5d2f5a1165288546c8984.jpg
Ampoule h7 et h4,Neuf,"Rufisque,Dakar",1000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0687d4091e6d30dc2ed54ce780b08d36/-/horizon-files-prod/ed/picture/qxj2m0z0/bc5fcff6ad8ab16d1457ce0f5cd826958607b968.jpg
Boîte mouchoirs et housse de protection volant(strase),Neuf,"Sicap Liberté,Dakar",22000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec3ec890c567888f03e1664a06427b93/-/horizon-files-prod/ed/picture/q6xkj584/3f232d52a1fa979ae9b28cc7d031cc8d5923e9dd.jpg
Tapis standard 5 pieces pour voiture,Neuf,"Grand-Dakar,Dakar",11000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ca018c778592eb2e87b1a18f6140ccb6/-/horizon-files-prod/ed/picture/qgvx460/632084cf7aa0b75e6e3f2c766ca900ce74f766a0.jpg
"Mini traceur GPS GF07, localisateur",Neuf,"Grand-Dakar,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/52fe3a28987163c13438e08a2946d631/-/horizon-files-prod/ed/picture/qj75d2e/0434ffee0b5668bf0ba08f368e6c1e70bee18d39.jpg
"Bâche Suv,berline(housse de protection) en pvc",Neuf,"Sicap Liberté,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e6bc07faaf1bf45e66f8ff4a7a873243/-/horizon-files-prod/ed/picture/q7856g7n/468770911ed0a1b14e81042b4f37a0455a4c6336.jpg
Gps de surveillance de voiture/moto,Neuf,"Hann Bel-Air,Dakar",22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc04f3200864dd47b9ea291feb17e49d/-/horizon-files-prod/ed/picture/qxz9qdz/e12a77b7b3584e473e6f71b74250df2749f90315.jpg
BOUGIE D'ALLUMAGE,Neuf,"Ouest foire,Dakar",12000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6dc90b6523dc23e24059f76fd1a494c6/-/horizon-files-prod/ed/picture/qkrgzg7p/85d5741ec34073fd7e39cb344888555ead814500.jpg
COQUE DE CLE POUR VOITURE,Neuf,"Ouest foire,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c55cae7f89efc77525e13ae19ce4ada5/-/horizon-files-prod/ed/picture/q6xkjkq8/02db76026ac72c385e4bc4836cb0914aee79881f.jpg
Socle de téléphone pour voiture,Neuf,"Sicap foire,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef7c16d484453d4742145176c8cdd05d/-/horizon-files-prod/ed/picture/qxj27j9v/e553d7758dcb8014776dbc8d8b8ed1ba3080e832.jpg
Haut parleur pour voiture,Neuf,"Guediawaye,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/33aaac89c81469b3df0ec6f6dd291f73/-/horizon-files-prod/ed/picture/q0gw6mkd/78a94ea07b43088d965690da1e456d5cf54dc529.jpg
Batterie auto,Neuf,"Médina,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94de27ab647aed8b6eb37a4d17d68b8d/-/horizon-files-prod/ed/picture/qngxv4k0/f146f9dcd692ac979d00ae813c47f8dab08b0ea9.jpg
Kit embrayage,Neuf,"Rufisque,Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec9239df1eb608733b80586d059b2359/-/horizon-files-prod/ed/picture/qenq8692/bd44634333adc988398d054f159b4c44e8f9c279.jpg
GPS tracker géolocalisation,Neuf,"Mamelles,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a142977ad1c547f5f66e4d64fe345386/-/horizon-files-prod/ed/picture/q0gw520x/d15f7816fb4f5592d3d2e50a6ef3b9202eb9990c.png
Réparations et ventes d'injecteurs de tous types,Neuf,"Ouakam,Dakar",55000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3ecd9c9ba30b8f4c9b839ff77c61735b/-/horizon-files-prod/ed/picture/q2jqv4k8/3408d644263980655dd0f38c2dc7a507d7533795.jpg
Disques freins.,Neuf,"Rufisque,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7cb165faf39114a9d122f5fceba9b86f/-/horizon-files-prod/ed/picture/qzvdknwn/d51c9777cdab5194b4e1eb496e58871a5ff12f58.jpg
Huile moteur Castrol Edge - Mobil 1 - Motorcraft - Toyota,Neuf,"Ouest foire,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4dc91ea05a724cc7a33e390334c121b0/-/horizon-files-prod/ed/picture/q0gw6ree/57554f6a78686b93155d91350ec95c4247fcd82a.jpg
Nettoyage Automobile,Neuf,"Guediawaye,Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a006704035f758b0ce1fb91bb214304d/-/horizon-files-prod/ed/picture/q785q2gq/65e8a26c0aabb65620d18b30f7e8cdbb00f9f334.jpg
Blutooth casque moto,Neuf,"Grand-Yoff,Dakar",27500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4546ac673c646500c8b6209cbb742610/-/horizon-files-prod/ed/picture/q2jqv6x6/9eb687e50c92ab6985e618cbfdd1583a9589d307.jpg
Gps+installation SAV 24/24 garantie 1 ans,Neuf,"Médina,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce6f254e5a9889903dec5b53bbe99dc2/-/horizon-files-prod/ed/picture/qv4erj8k/68bcd3d827eb5dc7ba2625a54cf39adc264b765f.jpg
Gps+installation SAV 24/24 garantie 1 ans,Neuf,"Médina,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62a6403e3fd901fcd517d35a8a30fd86/-/horizon-files-prod/ed/picture/q6xkwjpn/eb666a7d96fdcbfafc20a5bf790e0f7018e2ad87.jpg
Tapis de voiture GoodYear (4 pièces),Neuf,"Plateau,Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/040bc6fc391251a114ee451f337662a2/-/horizon-files-prod/ed/picture/qj4rgdde/2f9f0bee1d3a2c0e912a4fdd90cbef64e146b47d.png
RADIO ÉCRAN,Neuf,"Plateau,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a4ffc0a1794f25e1ff0045980e383b58/-/horizon-files-prod/ed/picture/q0ggjek6/d9a7b05cc82afbb86021b42c738b7f29344d792c.jpg
RADIO ÉCRAN,Neuf,"Plateau,Dakar",140000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e037505ff2466f31ffbd783c76c102a/-/horizon-files-prod/ed/picture/qnggrxnv/b222ec07a9a800eb579e0bf34655d7ab8de74df7.jpg
Agrafe auto 330pcs,Neuf,"Médina,Dakar",18000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d63c87058c19f2b7ccf354dc1a13cbb/-/horizon-files-prod/ed/picture/qrzvwr88/370a33cca67b4590fa60569fadc9c0eb7cb52d64.jpg
Agrafe auto 625pcs,Neuf,"Médina,Dakar",26000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/432a4a349f75266cc2cae9341c89a875/-/horizon-files-prod/ed/picture/q8v58m4z/84a730b16edef8ac055d8fdd863a9bcd064ea972.jpg
Agrafe auto 635pcs,Neuf,"Médina,Dakar",27000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b812af2616ecf225f97083fa8849ef9b/-/horizon-files-prod/ed/picture/qwe2xrpm/6ef925f662198d42518c5a5ea1efaab4d856874a.jpg
Agrafe auto 240pcs,Neuf,"Médina,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/86ced8f47ebbdf9ebab956c08ef99edf/-/horizon-files-prod/ed/picture/qngxv9xr/65a7de3483baa722356d648ac6efe876d198769a.jpg
Agrafe auto 425pcs,Neuf,"Médina,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6d7a23c154a2730f6bc6d0a96cfb2099/-/horizon-files-prod/ed/picture/q9m9zk9p/14cf1f051d60416352ab0f47c53213ccef07d110.jpg
Agrafe auto 180pcs,Neuf,"Médina,Dakar",18000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cde3472de71442a6c0c21a032e6f87fe/-/horizon-files-prod/ed/picture/qv4erde8/bca9c8eedf139434c0810d4977ae55a07dc45bb8.jpg
Agrafe auto 100pcs,Neuf,"Médina,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1b70809b565f00aacebe2c95ace565d7/-/horizon-files-prod/ed/picture/qzvdk8dk/3a0ab037254b8f0738ce7917cc4c3b18a709bbf2.jpg
Agrafe auto 415pcs,Neuf,"Médina,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e782040bd3754dfefb9b21533b4637ce/-/horizon-files-prod/ed/picture/q56xnpx2/86f8f7f249a658b55f72e0662c555f923b464a15.jpg
Agrafe auto 435pcs,Neuf,"Médina,Dakar",24000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/203a659167431628e2b1d97e56129fab/-/horizon-files-prod/ed/picture/qgq9rm94/97afd19e78ac705526c96518e61d5335951cc074.jpg
Siège Auto BB et booster enfant,Neuf,"Hann maristes,Dakar",65000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/24db8bc6320f68042c7df4162eef3dac/-/horizon-files-prod/ed/picture/qwe209rd/306707dbebbc02794c5d7868e9fa1f6e32080c87.jpg
Filtre huile et gasoil Renault dxi,Neuf,"Nord foire,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4697ebe82199cc629ece3798f697473e/-/horizon-files-prod/ed/picture/q2jqvred/b102f7e60da3c9b95e9e8a447476adf30f8a7d14.jpg
Antivols alarme scooter/motos,Neuf,"Médina,Dakar",8000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3926e9cfa15ac7fe255bc12530cf6ca9/-/horizon-files-prod/ed/picture/q2jqvjvk/19f6a88a2f4bb136b260e42d9e33f558c5b0cfcc.jpg
Antivols auto,Neuf,"Médina,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1bdab1bc5f8a65e268aca9e56e2ca021/-/horizon-files-prod/ed/picture/qkrgkrk5/036bd989f24edd1095f1426176407a6e0144c520.jpg
Antivols Auto,Neuf,"Médina,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5b1488097a4cd0d381c17099e91b828/-/horizon-files-prod/ed/picture/qm5p757m/15c87861d758cff7a6183992de409482d8271abe.jpg
Réfrigérateur Auto 7L,Neuf,"Médina,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2aa440c7ff45a55391e9765b83078694/-/horizon-files-prod/ed/picture/q44894wz/047ca68730ea4c529b093e9fcb9a464932b8925c.jpg
Pistolet Nettoyeur Haute Pression 40 bar,Neuf,"Médina,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3b691f4205b01e6fc34cc5e67b82e84b/-/horizon-files-prod/ed/picture/qwe2xe06/72b789289af9d34139adec359b81ac9cf19f7981.jpg
Pistolet Nettoyeur Haute Pression 40 bar,Neuf,"Médina,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72bee4c10d350432bc4a819c8621e86e/-/horizon-files-prod/ed/picture/qxj2mjn4/da247a1a2b6b83785515b19d2c2792d51e00fcf0.jpg
Batterie auto,Neuf,"Plateau,Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c912123d1867b21811d50df970b6ff5/-/horizon-files-prod/ed/picture/qxj2mjpw/13495fec8d6131512417e0a6762de1b01dde2794.jpg
Batterie auto AGM,Neuf,"Plateau,Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d1a894314eca92cfd172b93cbc435b38/-/horizon-files-prod/ed/picture/qj4rg464/39e34c0157b4f80c15c34dcf8d6795cfb9059e8b.jpg
Batterie auto garentie 12mois,Neuf,"Plateau,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73deac5c470e8ad9807be4570808a07e/-/horizon-files-prod/ed/picture/q2jqvjq2/96ff116ea415950fa6ed779e6274f274ed9f14c0.jpg
Batterie auto,Neuf,"Plateau,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/905dc4c27748115704be3a2d8ebd47ad/-/horizon-files-prod/ed/picture/qngxvgpg/c9d83a067a81364e21a7e38d314eee32c80ad83b.jpg
Battery 🔋 pour Kele vèhicules,Neuf,"Dieuppeul,Dakar",2500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ec016f0835247ba9563b8d248062096/-/horizon-files-prod/ed/picture/qw06p7j/ae3da025b665f27c878341ba93a39216b3ec5dc3.jpg
- Casque Haut de Gamme Shoei,Neuf,"Hann maristes,Dakar",95000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c2bcc218c641e84ba45fd3b0f6bd3c5e/-/horizon-files-prod/ed/picture/qgq9pe02/755c445e8692ea481b4a3914ba19c35f09b1c757.jpg
Tapis de Sol Voitures,Neuf,"Hann maristes,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e20de08facaeedabc832ffdc3d7f387b/-/horizon-files-prod/ed/picture/q7854x9g/a5a7b5449f5c943a30daffe5cf4e88a00ae22378.jpg
SIÈGE Auto,Neuf,"Hann maristes,Dakar",80000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ca19c93a11df9930105215a8ae59c8d/-/horizon-files-prod/ed/picture/qrzvkqm5/b70b71f86252990f751994ebe5b6d9a69159c28f.jpg
Chaussure moto - Shima SX-2 EVO (45),Neuf,"Hann maristes,Dakar",110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f09dff1a6e81aa9f5d21550820a54e71/-/horizon-files-prod/ed/picture/q6xk2qv6/6aaf0daa93691d6a1d56787d6ae8937772db3a33.jpg
Radio écran digital automobile système Android,Neuf,"Hann maristes,Dakar",145000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/43161bb146e8b29ce9a7f1e759c17a29/-/horizon-files-prod/ed/picture/q7882g6x/19794b7e52f380f825bcdc424ced6ac11397bfd9.jpg
Bâches Auto,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad844944dee077be2d4aff1344a34b67/-/horizon-files-prod/ed/picture/q8v5gx9r/97adb1e8fa08012ba8e5a4ba80d2b819a01ee984.jpg
Veste Moto - Furygan Atom Vented EVO,Neuf,"Hann maristes,Dakar",130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e94e859e1b5667bedd3a75013bbacfd2/-/horizon-files-prod/ed/picture/qxj2n6d0/93319dc442ba7e303ac76b52e664a1837e611cbd.jpg
Casque moto LS2 FF327 Challenger Solid,Neuf,"Hann maristes,Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8256147961313da4449a68aa6cd04949/-/horizon-files-prod/ed/picture/q56x2wdr/4627847d15ac364694072767ebc969ca14eb2bbe.jpg
Oxford - Sac de jambe pour moto,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/101a279e1973bc2c3dc938881eabcafc/-/horizon-files-prod/ed/picture/qwe20w25/6e8da3db4fc191c17c29d1c3f907c34937aed9bf.jpg
Gear Shifter - Protège chaussure,Neuf,"Hann maristes,Dakar",13000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d1bfab945bfa5d0a3c5d1ccbb3ca524/-/horizon-files-prod/ed/picture/qv4evzp8/93879382250e4bf6dac0491d2a92c5eba89446a2.jpg
Brembo - Plaquette frein avant R1200 GS - R1200 RT,Neuf,"Hann maristes,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13da5bfa8d3aea4645fc3ce9d9ba2c7c/-/horizon-files-prod/ed/picture/q2jq9grd/87109827c588b988733980f607e04c3fa42c2e6f.jpg
Brembo - Plaquette frein arriere R 1200 GS - RT 1200,Neuf,"Hann maristes,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/71e10792a36511236518b213a19975da/-/horizon-files-prod/ed/picture/qkrgn05x/9115c84fa0f70f01893cb6fd8838b7c3415f3f97.jpg
Bougie Allumage NGK Laser Iridium KTM 790 R,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/37275363f170f3870d9e769b76dbe705/-/horizon-files-prod/ed/picture/q448wpd8/7bdf05e6e39e08959026bbe0431f59bade1a6566.jpg
Bougie NGK Iridium Tracer 700 - Mt07,Neuf,"Hann maristes,Dakar",23000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/47da7e40cd277da22bdea554b3efc008/-/horizon-files-prod/ed/picture/q7854g8z/47d42bbaaefba8c1c0c7df88b47484a35c2ed13b.jpg
Kit Transmission Honda X-ADV 750,Neuf,"Hann maristes,Dakar",160000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4befa948a2810494d970a05fe3c51bcd/-/horizon-files-prod/ed/picture/qkrgn0rx/c677b92230f970d9d4a937eda1d6ec5f91461467.jpg
Kit Transmission – Yamaha MT-07 Tracer 700,Neuf,"Hann maristes,Dakar",170000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/658f236402d5b3278f2cec3c54572324/-/horizon-files-prod/ed/picture/q8v5rgvz/b9f1eccb173dd1bfda38e5217cbba5a410d8de02.jpg
IPONE – Graisse de Chaîne X-Trem Chain Road,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cbd120ab62166ed1aa275b2ce0c587ef/-/horizon-files-prod/ed/picture/qpd6r8d2/af93a5b1a620cc653f37db9767fd5a59c2903fed.jpg
Batterie Gel Fubalt BMW R 1200 Original,Neuf,"Hann maristes,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a9e3c7f969e71de73d1cbf87fb822f5/-/horizon-files-prod/ed/picture/qngx8w5r/2d2e3531663f3733bdc4c3325b89f7372c7c3c2f.jpg
Batterie Yuasa original BMW R1200,Neuf,"Hann maristes,Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93be66e49a5b320e045335754aa8cf43/-/horizon-files-prod/ed/picture/qv4evzm8/41c47359b87424afb1d6a3dba8412e8dd51a98e7.jpg
Veste moto Borleni - 4 saisons,Neuf,"Hann maristes,Dakar",110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef2122f190ffbf13eb7f9ae79571e152/-/horizon-files-prod/ed/picture/q9m9xnpp/0cfdfeeb3c351bc2735bafd510317f24a2bf0353.jpg
Chaîne Moto - DID 525VX3,Neuf,"Hann maristes,Dakar",110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/75aca6022abe0f4cf6994f0b029ccb49/-/horizon-files-prod/ed/picture/q8v52dm7/57e6faf9ee576962e97706152c7d7085aeb53ca3.jpg
Moteur de voiture,Neuf,"Guediawaye,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f5662143f62c0f80437f4d3d5808388/-/horizon-files-prod/ed/picture/q448w6x2/edd0d8f6ef083506259a354efdcee14764e4128a.jpg
Casque moto,Neuf,"Guediawaye,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f669684907c11eeadf6efb9bc1d6944f/-/horizon-files-prod/ed/picture/qdekm28r/2052945e6e8760b41bcb7d196616bc375ca70bc7.jpg
Radio Écran Digital,Neuf,"Plateau,Dakar",145000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f544cceb48199326b31bfe5ed04d98c/-/horizon-files-prod/ed/picture/qrzvmne8/680ed802af9bbf55fc0ee15e70dd16fbd6f9c8b3.jpg
Pare-brises Auto,Neuf,"Plateau,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89d7c4b8f7744d092f35c6e428e7da65/-/horizon-files-prod/ed/picture/migrated/qp00r7v/0ad0f217c397f6c1ad153f5240378ae0d0b21f23.jpg
Plaquette frein Citroen DS5,Neuf,"Dalifort,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa411cc153b465ec5b51871c36be205a/-/horizon-files-prod/ed/picture/q78500nj/3b0bed3126449856aa9ed34090dcf48d22f7eff7.jpg
Duplication Programmation De Clés De Voiture,Neuf,"Grand-Yoff,Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/53e3d2ec01469feb176df45b816c0212/-/horizon-files-prod/ed/picture/q0gwvwdw/751151c71948dee15e9b38ad9c54525d535a41a4.png
Protege Clé De Voiture Silicone,Neuf,"Grand-Yoff,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/469fd143a02adf82c871de1b25acf95c/-/horizon-files-prod/ed/picture/qgq979dk/c012265713629762483fe3cca3ad0e45c5001382.jpg
RADIO ÉCRAN ANDROID,Neuf,"Plateau,Dakar",145000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e84f17bcc25d7a5f23f7d880d71aebdd/-/horizon-files-prod/ed/picture/q448p5d2/d879b13bab3e5df2fc0b2246e1a2d5be1d66349f.jpg
Compresseur d’air portable Auto Moto,Neuf,"Grand-Dakar,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42da9c7110fe5115ea2384a2ac91bfea/-/horizon-files-prod/ed/picture/qngx8dgw/8c8d1a64aa11fdcbd7a729ddcce5950626bd22a9.png
Casque Moto LS2 Valiant 2,Neuf,"Grand-Yoff,Dakar",170000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/894f500d86886fd1d395bb2bb34c822a/-/horizon-files-prod/ed/picture/qdekmew8/b20d663db986ce813cefaace33e8a587c0f1c4cb.jpg
Casque Moto PROOF menton démontable,Neuf,"Grand-Yoff,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/170293664226dd6c5b8f91862063c162/-/horizon-files-prod/ed/picture/qzvdqn2v/a3d01101212db905dde9b40cba5e519c686b2b5c.jpg
Autoradio Écran Android,Neuf,"Plateau,Dakar",145000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c6fb47015fba5f8685a104e3373a4c1/-/horizon-files-prod/ed/picture/qenqm05d/33144486a81d56058170a80adde59036c35eddb1.jpg
AutoRadio Écran Android,Neuf,"Plateau,Dakar",145000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/099f956f8bad2563927f171cafcdcb94/-/horizon-files-prod/ed/picture/q8v52evn/92d29bb31a6a0137d4a7c841cefc9752ad2473c1.jpg
"BATTERIES AUTO NEUFS 60, 75 , 175, 200 MPR",Neuf,"Pikine,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35adf3411f8c5a1519a28ba6b5a6868b/-/horizon-files-prod/ed/picture/qwez79q0/54294f8c60451975e65d6664c6654f92a05f5bc1.jpg
PNEUS pour toutes catégories de voitures,Neuf,"Pikine,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/24c22007dd5051f523e0fc85bdb64eb7/-/horizon-files-prod/ed/picture/qpdwe5kw/85aa8e6c92ad89a3f9343cad7e1e7c221ba89594.jpg
"Colle moteur, verre et aluminium",Neuf,"Pikine,Dakar",28000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a683329cd91be61d5725ed67a82e13f/-/horizon-files-prod/ed/picture/q785m0pd/f588b92c2fa1561d270512516fd3f0d9e250fa71.jpg
Batterie auto,Neuf,"Hann maristes,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0beb19100a05355fb150734df98d9b32/-/horizon-files-prod/ed/picture/qwe297dz/f33920b9c2356a5c77f79c56f0eab963756a9fc0.jpg
Coque clé chevrolet,Neuf,"Hann maristes,Dakar",12900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/16d378678c7df0cf2d20344b70070bdc/-/horizon-files-prod/ed/picture/q2jq26e2/9b7c24798ff7a8e1b45c3dfe988896e5931d49db.jpg
