details,etat,adresse_vente,prix,image_link
Pistolet Nettoyeur Haute Pression 30 bar,Neuf,"Grand-Dakar,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6bc003bf6e501aa01377de9fe359003b/-/horizon-files-prod/ed/picture/qxj2gknq/0be70665dbce4840064546022540ff38f926222e.png
Chargeur Batterie,Neuf,"Guediawaye,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c976853cce18cce00743b485217778b6/-/horizon-files-prod/ed/picture/qzvdmqj6/735a6d63a855876a1195d9fed8fb76fb2940aa66.jpg
Cire Intérieur Voiture,Neuf,"Guediawaye,Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7f866522438788a3c0685be1c4d72b0/-/horizon-files-prod/ed/picture/qwe2757k/1bc4a040fc422f9bd7de71640844f66a06d1f903.jpg
Pare-brise de voiture,Neuf,"Médina,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/10b9c6ab69db025dfb6d19c11dbe7e33/-/horizon-files-prod/ed/picture/qrz24708/3ca4f8ae65a957ec976a033ae9c07a12aba3803b.jpg
Corde de remorquage voiture,Neuf,"Pikine,Dakar",7000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e77b3fcf8076afd8ebae2a7c75163ad3/-/horizon-files-prod/ed/picture/qwe27dzj/98ca9a1a411c5b7c33143c9f6caadbfb59d92870.jpg
Casque moto,Neuf,"Pikine,Dakar",12000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0e7f20f5051c74e0d26917e3f1aec33e/-/horizon-files-prod/ed/picture/qrzv98q5/a790be01da3fde1fc2fbfcc810db867d1df0f561.jpg
Bâche moto,Neuf,"Pikine,Dakar",9900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8330520a12a2cf943edb5842f95d36cd/-/horizon-files-prod/ed/picture/migrated/qd992m8/64c20ac1f6ac0334be78ab04656634ce8a00eb71.jpg
HUILE EDGE,Neuf,"Médina,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/27e79f080faa62e71608b5f1fd9df748/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qngx67xv/11057b3da6dc8b1ac9902900834b07d39a2f16ac.jpg
PARE-BRISE ET VERRE PORTE,Neuf,"Médina,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4860607bb1e7d0105fba94c56feba739/-/horizon-files-prod/ed/picture/qngdr50r/f465d9a72463e51dd50b7ca5f2e681cc0ba4b631.jpg
GPS coupe moteur + installation et suivi Garanti 1an,Neuf,"Sud foire,Dakar",44998,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45c7a405f7295552eb330cc35bcd7c33/-/horizon-files-prod/ed/picture/qv4e6px2/7594c4ccf443a2da415f455949f7a5e5c753dbaa.png
Casque LS2,Neuf,"Sicap Liberté,Dakar",170000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf8c8d40d299d1df98af9f984bb05946/-/horizon-files-prod/ed/picture/migrated/qzzrqwk/8cf151457041c163026ebaadd2a91a17412ebfc3.jpg
Compresseur gonfleur pneus,Neuf,"Plateau,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/674ba1e1b2319417c94f87ec897f4ae4/-/horizon-files-prod/ed/picture/qxj20rjq/51c0da7c893c1a3836c4d7f8d8128b631b6b9510.jpg
Huile synthétique Rulexx plus GTX pétrole &Diesel.10w40,Neuf,"Liberte 5,Dakar",35500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/396edad81c03b4e706b8f5c28a3d8c99/-/horizon-files-prod/ed/picture/q785zn2d/61f3154ba9c1e0f6527bb1640c4ba76ce3d3a00f.jpg
Batteries auto,Neuf,"Liberte 5,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/444773512f2801529371c8e3fb57d824/-/horizon-files-prod/ed/picture/qxvzn44/f90289ae90b90ec9d651c9e288c1ea81d0b0fb10.jpg
Dossier lombaire orthopédique + pare soleil,Neuf,"Plateau,Dakar",9900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7e222baa85ac8d5451c6803645e4d947/-/horizon-files-prod/ed/picture/q2jqemzv/3e813b8cb4c2c26e6d1a81c829cba84c31802804.jpg
Traceur GPS pour entreprise,Neuf,"Colobane,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b3cba9fef700c87fac26cc08fa9a809/-/horizon-files-prod/ed/picture/qngxmqje/eaa9956543c63454b5e2a10056cf326f46d40b89.png
Compresseur d'air pour voiture 12 v,Neuf,"Fann,Dakar",14000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b91bb3c138176128c6e7ac1ce6453698/-/horizon-files-prod/ed/picture/q56xek4e/5f83dc8cc84aaa7a60104ef907361efeede406eb.jpg
CHARGEUR DE BATTERIES INTELLIGEANT,Neuf,"Hann maristes,Dakar",24000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/032f06b643d2a795d499d05ce3c1299c/-/horizon-files-prod/ed/picture/qv648nj/8d12c4e1c9a44c0f14d063d720a64a5059ca256d.jpg
Décalaminage Moteur Automobile,Neuf,"Sicap baobab,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/697d96199c39ef1cc1fa6f4b4a3d6064/-/horizon-files-prod/ed/picture/q4zx27v/3c9afbbde2b35c63ad9b9722a93fc9c3958f9c77.jpg
Compresseur d’air,Neuf,"Grand-Dakar,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/636d39c3f1415686d4ba1de2e031ff61/-/horizon-files-prod/ed/picture/q62nmnj/b8b123ce861d7f43c70f4d63a2c96400b0bc0eb8.jpg
Phare BMW série 3,Neuf,"Mermoz,Dakar",350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6e60e565d7516bbee5c263142edf913f/-/horizon-files-prod/ed/picture/qq47v8nw/33cee49e7baf4ac97b6efea4abab127fb511656e.jpg
GPS + option arrêt moteur,Neuf,"Ouakam,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42fe27463f75aefa367b77d8ab7edd42/-/horizon-files-prod/ed/picture/migrated/q455zmv/5b7511f788f9bc8c647b92ff98d1e1d477cf422b.jpg
Mini aspirateur gonfleur 4 in 1,Neuf,"Plateau,Dakar",27000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/721ad6adb3a6b2c4b97b9d1c93d3884e/-/horizon-files-prod/ed/picture/migrated/qn72w6x/a1daa125de6742816ed31c8565c71844349cb990.jpg
Liquide Mousse Nettoyant Carrosserie,Neuf,"Guediawaye,Dakar",3000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a7c49dc6ddbfa99f472ec0553489369c/-/horizon-files-prod/ed/picture/q6xkwe4g/d2999fc4fb98c30046df72d5b0d66707a9330cda.jpg
Housse de voiture de luxe 5 places,Neuf,"Grand-Dakar,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f8445ffcc2b3811ccf22108be016921a/-/horizon-files-prod/ed/picture/q94z565/8615ad14bf83dab6883b00c70a1b0143cf7ed025.png
TRACKER GPS,Neuf,"Grand-Yoff,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2904a532a430a590546477cf06ee4854/-/horizon-files-prod/ed/picture/migrated/qvgqj62/e22337a5b1197aac0960a05276404a39afe0725d.jpg
"Gonfleur Pneu Voiture, Compresseur d'air avec lampe",Neuf,"Castor,Dakar",18000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb61053fe0ed39e35f665778f84b3a0a/-/horizon-files-prod/ed/picture/qgq9n46m/8d5996fbfbb7eb65bd6ee9bf46724c6281126ca2.jpg
Support téléphone pour moto,Neuf,"Hann maristes,Dakar",6000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/033629f70e65d24dc8da7e1a40ac7ceb/-/horizon-files-prod/ed/picture/qpd6z00q/3ca40b8db961be011402b208ad25474f40474926.jpg
Bâche auto,Neuf,"Hann maristes,Dakar",18000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb7890e3cf5076287598668ed03ca8e0/-/horizon-files-prod/ed/picture/qm5p9gkq/d894165145bc30439b90631c713f7ec1cd00dde9.jpg
"Pistolet de lavage de voiture haute pression sans fil,",Neuf,"Castor,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/da1679fb1b341c00ecafd6bd53ca07d5/-/horizon-files-prod/ed/picture/qdekqde4/a83b6f491d75663383807a6d9e1ba0a85e08aab8.jpg
Pompe à air double cylindre,Neuf,"Plateau,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/adee6667fda543f11d64a1981d488a55/-/horizon-files-prod/ed/picture/migrated/qp0jmpm/4e3fc5d19a269e364dc84ded6126cf3f061b1270.jpg
Remorque Semi-Clôture Neuve à 4 Essieux Simlet - 65 Tonnes,Neuf,"Keur Massar,Dakar",26000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68d048a20d16318ee2aa90679c920d25/-/horizon-files-prod/ed/picture/q785e88j/2389c1d9cbc1ee9341918e401668e2c32612aa30.jpg
Lecteur MP3 Voiture T10,Neuf,"Dieuppeul,Dakar",8000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f3564cfbd46aaf3d8a96f7fcd331abd/-/horizon-files-prod/ed/picture/migrated/qjpzp94/0a902038fae7f6526d86f14eeebaaa7ef37483d4.jpg
Dakar pare-brise,Neuf,"Médina,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/67bddadca7e3bdcd42b43ddd620c894c/-/horizon-files-prod/ed/picture/q2jqezn8/1e49196a3a17988fa3cc1f8197e908518a4c525f.jpg
Tampon amortisseur Ford Explorer,Neuf,"Nord foire,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/098f5b0ece2eeb7fd59cbe841629e525/-/horizon-files-prod/ed/picture/qv4e8n48/a486485c3561d86a51e9c93e0b0c4bfaa0cf2de4.jpg
Pièce jointe,Neuf,"Pikine,Dakar",160,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ccae8b04ce666679029e7ee144e27ed/-/horizon-files-prod/ed/picture/q8v5k7p6/6ca11aebc20458e9755940efe1f5f76de2c87a57.jpg
Pompe à eau Mercedes,Neuf,"Pikine,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68306f7ae85becff161079188a400e4d/-/horizon-files-prod/ed/picture/qgq9pv9q/69de8204ba48766c5b4aeb535c08f728d6573119.jpg
AUTEL PS 100 TEST CIRCUIT,Neuf,"Guediawaye,Dakar",90000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f260f622da84c14d9996850fe693f88e/-/horizon-files-prod/ed/picture/qngx6eme/a8389a5b7121eb27316ba2879905c7d26b9e5cdf.jpg
BLOUSONS MOTARD,Neuf,"Yoff,Dakar",15,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7c2970f45641f72d084e429403a17fab/-/horizon-files-prod/ed/picture/q6xk4q4n/4d816547cded47ed8d2de76e54afc3f85c129cee.jpg
Disques de frein,Neuf,"VDN,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6e51b2ffbb0813296c6865db8168a215/-/horizon-files-prod/ed/picture/qpd6vr8p/ee6d161dd4ec7c6d0caa7872a4eb440dc6a0359b.jpg
MUCAR V08,Neuf,"Guediawaye,Dakar",625000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/190fd8ff2b155499878788b22fd756fb/-/horizon-files-prod/ed/picture/qm5p2qkj/2e26820c79bf956f2a783a7f1b6afb3dfb8b83d4.jpg
LED SPOILER,Neuf,"Parcelles Assainies,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/780e6e5cda2b07d595f14e886f92d6e9/-/horizon-files-prod/ed/picture/qrzv9kdm/af1f255e5f1c9c7ede56d2ec83a918b2fb99b9c9.jpg
Plaquettes de frein,Neuf,"VDN,Dakar",32500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5b7381522757473f53345090fd10620/-/horizon-files-prod/ed/picture/qwe245em/d3b07222e25ee9d2d0bc460492ae6787c12a986d.jpg
Pot Dominator GP1,Neuf,"Hann maristes,Dakar",95000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2472e1c46267004cc9d72f8a2f7a4e9/-/horizon-files-prod/ed/picture/qpd6vq6p/ed29c406b578096f61f427f7c33b656788fa80ed.jpg
Housse de voiture de luxe 5 places,Neuf,"Grand-Dakar,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/153f8559245c20f5f78f39deffc5c0cc/-/horizon-files-prod/ed/picture/q0gw426w/8673bb26658f6bb331ea3774faaacd07597126c1.jpg
"Ensemble couvre volant, boite mouchoire ...",Neuf,"Grand-Dakar,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/afb073f8c33709158d7b16981ade1a27/-/horizon-files-prod/ed/picture/qdek8664/60d9066aadaf0433c13990c31ea2ce075476ecbc.jpg
Compresseur à air / Pompe pneu voiture,Neuf,"Grand-Yoff,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38389d61de010c8d1e41874de91d523b/-/horizon-files-prod/ed/picture/qkrgj2vv/268b9ac7f73ac189c51ce1cea0b80181c67d7389.jpg
Siège bb isofix pivotant(bba🇩🇪),Neuf,"Liberte 5,Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/822b597d321c537733c66e4c1e6821a9/-/horizon-files-prod/ed/picture/qxj2evrz/9d50c2e1fb821d0ce750087369e7f05db67d8d76.jpg
Bras de suspension Ford Explorer,Neuf,"Nord foire,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6d1473e96e11ae5ce6a2d254841c4a1e/-/horizon-files-prod/ed/picture/qngx6w9m/056e93f23227625036a473048960aa609654737b.jpg
Sonde lambda Ford Explorer,Neuf,"Nord foire,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9de8bfe076c301c644923697d4083bff/-/horizon-files-prod/ed/picture/q448kp04/b9023e4419156b2e3de5d803b57b4716e56227e6.jpg
Rotules de direction Ford Explorer,Neuf,"Nord foire,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c8b3d4c7c18e56cb56d6cd32240bc08b/-/horizon-files-prod/ed/picture/qxj2rq82/c081ef9f1509923d5bdd61fefb48cb03a8bed1eb.jpg
Batterie blindé de voiture,Neuf,"Médina,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5d2714d6131c7ab89ab5581b3d2d83d/-/horizon-files-prod/ed/picture/q6xknrn8/86111168c76602c2d7ae3d00aade2fcd0208b19c.jpg
X431 PAD7 ELITE Avec Smartlink C VCI CODAGE EN LIGNE 2024,Neuf,"Yoff,Dakar",2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d210196edfeeaffe3fcb2e58d53476bd/-/horizon-files-prod/ed/picture/qenq4xq4/ff66fb6dba316d137bb2e45f1ececa9c038763c8.jpg
Launch X431 CRP919X BT ECU Codage 2024,Neuf,"Yoff,Dakar",400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9ffd317954f04f576e1b82de9310499d/-/horizon-files-prod/ed/picture/qpd6vj6r/5bf50b09de6817c9f3fa938cfb0de03caffd62c4.jpg
launch x431 pro v 5.0 nouvelle version 2024,Neuf,"Yoff,Dakar",750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/105a53652a720ae8e41ddffbea2a39e9/-/horizon-files-prod/ed/picture/qwe24k2p/be9c05dcb0d9591c5bf86983506c6582b3dadd2b.jpg
Tracker GPS Dispositif de suivi intelligent Wiwu WT-02 iTag,Neuf,"Grand-Dakar,Dakar",22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b88ad1e810c7e2445d4075c785d38119/-/horizon-files-prod/ed/picture/qxj2r29q/a12f8e7cc96112578d4fa15fb2297017e12b0b0d.jpg
bluetooth car mp3 player voitures oto vehicules,Neuf,"Dieuppeul,Dakar",6000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3e25cf9974776245e512d7b949066330/-/horizon-files-prod/ed/picture/qv4m8028/9117e94849fa37f73c3155fd61e3c3b8d2f4409d.jpg
"Gonfleur de Pneu, Compresseur d'air, Connecteur de Valve",Neuf,"Castor,Dakar",16000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e8320170348c960243ee10715a722d8e/-/horizon-files-prod/ed/picture/q0gwd60x/9fe3ec5557fc9cdd7728e240ec158184a19bf78e.jpg
Support téléphone pour moto,Neuf,"Hann maristes,Dakar",6000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/595e31c40b422e68a3eb189267784df9/-/horizon-files-prod/ed/picture/qdek8w24/bff7ebc1270db8795696c148886b61ce182fd3fd.jpg
Housse chaise voiture,Neuf,"Hann maristes,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b73e00607e2eb96f099d4eff577a8a9/-/horizon-files-prod/ed/picture/qkrgj5xp/a76ef32e368498053ae122915e53b4f5c4770a58.jpg
Casque moto,Neuf,"Hann maristes,Dakar",27000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6131f7c1b6022cad64abc3357a548940/-/horizon-files-prod/ed/picture/qm5p2rjg/271e364f830ebd16e2713cb2548f3f10fe898e4a.jpg
Casque moto original,Neuf,"Hann maristes,Dakar",49000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b655c4612f3ffc02480c709da54dfa0/-/horizon-files-prod/ed/picture/q448kd64/812c0ef1ca62f6d29effe35a707d0b2fc907db5e.jpg
Gonfleur de pneus portable,Neuf,"Pikine,Dakar",12000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9722c41d9f7dd274f9fc9353c36b42f6/-/horizon-files-prod/ed/picture/q0gwjq28/7e3d66eb16d167d07926b4386b144a51915b042a.jpg
Filtres à huile Bosch,Neuf,"VDN,Dakar",7000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/247e66d435c0cc2024b6b37926e19638/-/horizon-files-prod/ed/picture/qpd6e4k4/7c36f5c9f9a94a833ac6481fa1dd7fd7956f2ceb.jpg
