etat,marque,année,boite vitesse,adresse,prix(FCFA),image_lien
Occasion,Hyundai,2010,Manuelle,"Pikine,Dakar",3300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aed5abb2f53c713192aa5708b31c67e0/-/horizon-files-prod/ed/picture/qgqq4pe0/255e72492648780447d4538c86be82bdf714244b.jpg
Occasion,Hyundai,2010,Automatique,"Mermoz,Dakar",2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/76b04d479c1d474581d7945856ee3401/-/horizon-files-prod/ed/picture/q444qvrr/d45a37182eb17b79179a3a884fb44acc31de8274.jpg
Occasion,Ford,2014,Automatique,"Cité Damel,Dakar",5800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ef73eb6d5d56afc0a928b827851daf97/-/horizon-files-prod/ed/picture/q788g90g/bbd3f0ae5f31dc676c2e8072906a919c9316369b.jpg
Neuf,Ford,2019,Automatique,"Cité Damel,Dakar",19000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba4ede5c5951ab5172bbb5b2051ae436/-/horizon-files-prod/ed/picture/qzvvzvgg/d73796a2668602f0641454cfc3a7ca07d08b2738.jpg
Venant,Mitsubishi,2014,Manuelle,"VDN,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d8b196e830d06aedf35be756fb9544d7/-/horizon-files-prod/ed/picture/qxjdeknz/01b9c2737f72e1ac1652943dbec17a6e8f02deef.jpg
Occasion,GMC,2014,Automatique,"Sicap foire,Dakar",11500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec64dfab35e78b3dd99710cf3b464039/-/horizon-files-prod/ed/picture/q8jg4r0/33f8fd7e796f44dc1f8d79ad5984fafd8b381148.jpg
Venant,Mercedes-Benz,2017,Automatique,"VDN,Dakar",28900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0077e47c90db2ef426ed78114507b3ad/-/horizon-files-prod/ed/picture/q44jzmzm/accaae76cbe172b07f146fb8419c6e3ede29ff17.jpg
Venant,Mercedes-Benz,2018,Automatique,"Sacré-cœur,Dakar",29900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3bea580e10e54d46964485bec35d8d11/-/horizon-files-prod/ed/picture/qqpmp2j/6fff81aed31a6afcaef2f8e7d31696a88dc690fa.jpg
Venant,Mercedes-Benz,2021,Automatique,"Yoff,Dakar",85000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65daa3dea0e803e545693e2d313ea249/-/horizon-files-prod/ed/picture/qng5d5xz/5b88885cf368018b9991d77798c668f0e761afa7.jpg
Venant,BMW,2015,Automatique,"Fenêtre mermoz,Dakar",19900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a50c2652d347235961694eef3be626c5/-/horizon-files-prod/ed/picture/qv44p4gp/b23c2a2a4b5ef939777a0ec43f6d70ac02b359ff.jpg
Venant,Hyundai,2012,Automatique,"Fenêtre mermoz,Dakar",4250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0580e5448a5edc4a2ff66347d81769b0/-/horizon-files-prod/ed/picture/qdee6j68/78bbe4579ff77c431ce6a8314e7f61505ef0af73.jpg
Occasion,Toyota,2012,Automatique,"Sacré-cœur,Dakar",18500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9aa310e0536d4f994bd2770f9454d995/-/horizon-files-prod/ed/picture/qweer4w5/10167e93e6cd1958c146513bf8ba79cda8f2519b.jpg
Venant,Mercedes-Benz,2021,Automatique,"Sacré-cœur,Dakar",95500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/766dd82e15517281d266dda909810d65/-/horizon-files-prod/ed/picture/qrz2wk54/e14421fb46b55a109053a670b55cb0d312d27238.jpg
Venant,Hyundai,2014,Automatique,"Sacré-cœur,Dakar",10500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2e21d9dffd41f655b4b93495d9ec273d/-/horizon-files-prod/ed/picture/q9mmk4zj/e20cae30642dd13233f5b244bcb2494f1f00f555.jpg
Occasion,Toyota,2011,Manuelle,"Sacré-cœur,Dakar",4300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9092db2d47919ec96f508f5348751380/-/horizon-files-prod/ed/picture/qv44v6xj/b15ab231c5b861df4d069c50fc188abddc83ee37.jpg
Occasion,Ford,2017,Automatique,"Sacré-cœur,Dakar",9300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/564578441bf6dae31a8a23f7c849f1a3/-/horizon-files-prod/ed/picture/qpdd029r/d94ebb27eac82c777802c34b99e7f464adcaedd5.jpg
Venant,Nissan,2015,Automatique,"Mermoz,Dakar",8700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5179053cc683ac3519f3a28ba92459ad/-/horizon-files-prod/ed/picture/q9m0v8gj/856e677f0709dc72a589d483d048ca14147e2ac1.jpg
Venant,Audi,2020,Automatique,"Sacré-cœur,Dakar",65000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01606b6db446401c8e5899ef9846d21e/-/horizon-files-prod/ed/picture/qgqq8z2k/7d85978c78c23cd8e311c7f94525fcffe8038990.jpg
Occasion,Hyundai,2012,Manuelle,"Sacré-cœur,Dakar",5000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b0207a86ce4d92cd9de17963c1e382ff/-/horizon-files-prod/ed/picture/qq44ndr4/5c5e2eef68b6b09f9429ff705d136175a237e168.jpg
Occasion,Toyota,2010,Automatique,"Parcelles Assainies,Dakar",2700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f22e9bf9ba6b5ecbac06e93cde7ac3aa/-/horizon-files-prod/ed/picture/q8v5e706/0a8a6e5507cf22464fc49247ccc30ded5656c882.jpg
Occasion,Ford,2010,Automatique,"Mermoz,Dakar",4300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e5480798ace02998fb87ec5bb4f26d3a/-/horizon-files-prod/ed/picture/qdeegwm2/164ec2121c5e0ede588edc7bed7c45d860b84f19.jpg
Occasion,Hyundai,2015,Automatique,"Nord foire,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/779e70db449297b5727514cacca705a2/-/horizon-files-prod/ed/picture/qrzz0kkx/41ebfb07db96fd2a9ae11ad33fdd4cabd172aa9d.jpg
Venant,Kia,2014,Automatique,"Sicap Sacré-cœur,Dakar",10300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/845a55eec81e4f4fe1f5d2da81447695/-/horizon-files-prod/ed/picture/q0gg5m4e/53bc98a9d1fccc8f82813970ca747191f2df4db8.jpg
Occasion,Toyota,2015,Manuelle,"Sicap Liberté,Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c9f28c27d567067dee2d757399948f5/-/horizon-files-prod/ed/picture/q8v0zrr6/a5bcdb30c1f6c9514a869cb4a36b778570564ef6.jpg
Venant,Chevrolet,2013,Automatique,"VDN,Dakar",6300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3424daf0be084ddc932f9374bafe2e4f/-/horizon-files-prod/ed/picture/q9m0e2r8/f8db5c3bd4ccec240c780adb3db2c8279335e81a.jpg
Venant,Kia,2015,Automatique,"Sicap Liberté,Dakar",5700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9d04cbc5d3b8f981fb838185bead568/-/horizon-files-prod/ed/picture/qng54809/1933c60730cfc4234b8358d451465748a776f0da.jpg
