etat,marque,année,boite vitesse,adresse,prix(FCFA),image_lien
Neuf,Ford,2015,Automatique,"Cité Damel,Dakar",11800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7f1e4fe59eb7e47fc260e492ffa378a5/-/horizon-files-prod/ed/picture/qwe2gk5p/e4256cb06007145faaf470e4cea21b1282688ed5.jpg
Venant,Mercedes-Benz,2020,Automatique,"Sacré-cœur,Dakar",33000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/21f0712080cdec71e06a00c5a5d80987/-/horizon-files-prod/ed/picture/qv4e9k58/acd1f2a7beff22418ece01f0184a8f9696614853.jpg
Neuf,Ford,2016,Automatique,"Ouest foire,Dakar",6400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/45425423019bc9a0c0cf9c93d0f5d086/-/horizon-files-prod/ed/picture/qj4rzq5g/0177c631125f22b5e58e8fd88ad8bfa9baaf262a.jpg
Occasion,Ford,2013,Automatique,"Colobane,Dakar",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a1d8ac5e8b86f44f949057ddb0535b47/-/horizon-files-prod/ed/picture/qm5png9r/2b2a5ee5c8fdeae13b98b341bbe23c3695fcce4b.jpg
Occasion,Ford,2016,Automatique,"Amitié,Dakar",11000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b38731e68c01cc4d1b27e3941c6893df/-/horizon-files-prod/ed/picture/qkr5erdp/2ce6578f738d21de702f73c57813541ac0a7b121.jpg
Venant,Jeep,2017,Automatique,"Amitié,Dakar",9850000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/21283b41985c6dcddaa6def035565167/-/horizon-files-prod/ed/picture/q6x6g0e8/34ecc017311592ef4e3c031bdc78474fb34ac6e1.jpg
Venant,Ford,2017,Automatique,"Fenêtre mermoz,Dakar",13000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bfceff53fe6055435d17bdc77d384099/-/horizon-files-prod/ed/picture/qm5pnjnd/18b54c58be9df5474255b5f91fefb2ae0252e81c.jpg
Venant,Ford,2015,Automatique,"Hlm,Dakar",7700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96f3fc91d7b0befc1dfda7523659cfa5/-/horizon-files-prod/ed/picture/q9m9gk2w/e19aa3f1ee175ed90251176fa87bef93527a91e1.jpg
Occasion,Kia,2011,Automatique,"Mamelles,Dakar",4500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f65ccae64cf85b26b221b6dc8c1fa0b/-/horizon-files-prod/ed/picture/qzvdjj4g/16e016dfd1d276688956c6f23b33219900e0c44d.jpg
Neuf,Mazda,2020,Automatique,"Fass,Dakar",17000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/623ab3b9973578f06b1c681f05af80f7/-/horizon-files-prod/ed/picture/qv4ez5zk/beef3182016857534fe386ca15539e51bb96d4ec.jpg
Neuf,BMW,2015,Automatique,"Cité Damel,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a67b73de7e0e0326089135b0c7f9838e/-/horizon-files-prod/ed/picture/qwe2k0j0/e06f82397d711b0880021891848c238094c21deb.jpg
Occasion,Chrysler,2015,Automatique,"Cité Damel,Dakar",4900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a6fbe70392109447c3b08ec97fb73fe8/-/horizon-files-prod/ed/picture/q448pp6m/c8cbb72188a0cb8babccd8d7eab97a89aa387f91.jpg
Occasion,Ford,2017,Automatique,"Cité Damel,Dakar",10000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c21a28dc887a0b743184fd2d9ba6b5c2/-/horizon-files-prod/ed/picture/q6x600xn/c582493cfeddca04d74e23db9175cb26911dca4b.jpg
Venant,BMW,2015,Automatique,"Dieuppeul,Dakar",19500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a8ef47885cbc7c3cabed2d8980b3714b/-/horizon-files-prod/ed/picture/q8v59x57/854c8d262d201b7e1b864bcbe1874f60e76b63fc.jpg
Neuf,Toyota,2023,Automatique,"Mermoz,Dakar",80500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/40cd114e58f248f5e20c3f554a318007/-/horizon-files-prod/ed/picture/qm5pj496/f84b1dfa8a54cb69fbed3c608701f1a3d437c141.jpg
Occasion,Jeep,2018,Automatique,"Keur Massar,Dakar",7990000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ed5daf1d8d9c55da73bf48c0c5f9d8e/-/horizon-files-prod/ed/picture/qq475d4p/7f75e97eed70473ed5fc1b054c420617f6abf338.jpg
Occasion,Chevrolet,2016,Automatique,"Ouest foire,Dakar",4500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/74a6023e3781696fbfa337f184807664/-/horizon-files-prod/ed/picture/q6xk549v/3512027cea776fb8345fcb1d82e0e890a817e505.jpg
Occasion,Hyundai,2012,Automatique,"Liberte 5,Dakar",4200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a4c5d636dcd2361a0eb90f605594555b/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qrzvjpw2/e301c97f201abf9188530c9a99c7b879faa70f80.jpg
Occasion,Mitsubishi,2008,Manuelle,"Saly,Thiès",6500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/287c13d6217806b9ab08c65f97213e8c/-/horizon-files-prod/ed/picture/qrzv7x7q/ea1504a0ae91633ecb82502ce53da4b96b0aeede.jpg
Venant,Lincoln,2018,Automatique,"Yoff,Dakar",14000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/944d358ccc373fd89a190ff543247e76/-/horizon-files-prod/ed/picture/qxj6xdqz/c9fe99c94320bd9feb2560ca8b4c47d6d5cb00ec.jpg
Venant,Nissan,2016,Automatique,"Keur Massar,Dakar",7300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a9a5cceecf239bdfb0da9126b03bffe/-/horizon-files-prod/ed/picture/qgq9d2m2/440c9772a1db689e9b97065b3a559e687448564a.jpg
Venant,Nissan,2015,Manuelle,"Patte d‘oie,Dakar",13000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5c6501ef738b00d215f648853c8fff3/-/horizon-files-prod/ed/picture/qngx9xv9/fe37a6ac80dd37aee3e967688bca67db13a4e511.jpg
Occasion,Ford,2017,Automatique,"VDN,Dakar",11500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d44feed33a11af20e413fbd8f1e7fb9/-/horizon-files-prod/ed/picture/qwe2e8q6/d72f023d519984ae9dc91b034e9b10cb2afbfd2f.jpg
Venant,Hyundai,2018,Automatique,"Sicap Sacré-cœur,Dakar",12800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac4f860c9cbc530b3bee928bc82ab25d/-/horizon-files-prod/ed/picture/q8v59gx4/280ccb205376acf7fa77d8bdf33470cb1f98a497.jpg
Venant,Toyota,2019,Automatique,"Liberte 6,Dakar",20000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20eed83098390af1ae065c6091a07ecb/-/horizon-files-prod/ed/picture/q8v59prx/2cfe7dce72bcea99fd27b9804cfa926c9f29914b.jpg
Venant,Hyundai,2016,Automatique,"Sacré-cœur,Dakar",12300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b17e0a0b9082034da34caccff4b01e3/-/horizon-files-prod/ed/picture/qgq9w249/4ecea5103cc33a7d9ef9522b8f235276de940eeb.jpg
Venant,Chevrolet,2018,Automatique,"Grand-Dakar,Dakar",8400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96c2c9470b0c21077e45dfc7e9bf4d66/-/horizon-files-prod/ed/picture/qxj2q6v2/568d6a1644c68f8b93a73960f461aeb00c51d157.jpg
Venant,Toyota,2018,Automatique,"Patte d‘oie,Dakar",15500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a612bab0693066cc78ac8ecd75b776c/-/horizon-files-prod/ed/picture/qq47z48w/9523dddcfda2da16472ea8721bc416d4ee8dbe93.jpg
Venant,Ford,2020,Automatique,"Sacré-cœur,Dakar",15800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e87fed6ee2d09c9f622ba24189255563/-/horizon-files-prod/ed/picture/qrzv7qmq/26943177a85029be1b66579ec3b57ff2fcd5f008.jpg
Occasion,Hyundai,2012,Automatique,"Liberte 6,Dakar",3700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ecffd2b5f4819ec08dcaac0a8f4d343/-/horizon-files-prod/ed/picture/qkrgx09v/2337fcc57bf6b48afecda8ca6b3b30463b81a52a.jpg
Venant,Mazda,2015,Automatique,"Hann maristes,Dakar",9200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d3b23c827f7aa1136906c87ebba2a06/-/horizon-files-prod/ed/picture/q448p5v5/d865b9a9bbcd195417c9ae651eefe94a9f7e3289.jpg
Occasion,Nissan,2012,Automatique,"Ouest foire,Dakar",5000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c11144e236383d0a6fa4ba24d63bd2a/-/horizon-files-prod/ed/picture/q56xgg4g/fc5da1d91b11c73d75f08cdb18ecad950181e6af.jpg
Occasion,Ford,2013,Automatique,"Colobane,Dakar",3750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f96c6bbcce512308e545fffeb50f2324/-/horizon-files-prod/ed/picture/qq476x07/bc76dc56bf4669ca6b80a2073c6eae225df0be2a.jpg
Venant,Ford,2017,Automatique,"Colobane,Dakar",6800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb579af6faf7437b5ef97ccce3ad1465/-/horizon-files-prod/ed/picture/q9m9gx87/e025a7e14ef5b97ce6c2bd6bd36f0b2e74b8d87a.jpg
Occasion,Hyundai,2012,Automatique,"Fenêtre mermoz,Dakar",5900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c28c930484494a40b8052ed11b687bd/-/horizon-files-prod/ed/picture/qpd68jnw/52dcc9144397c41e3f833a72a4cee8664e764501.jpg
Venant,Ford,2015,Automatique,"Sacré-cœur,Dakar",12500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2d33e48436efadb344be95707f5513e0/-/horizon-files-prod/ed/picture/qv4ezwqv/67b5a3ee5d1c77bc4b7c4404f1f5845bbe5b8362.jpg
Venant,Kia,2014,Automatique,"Mermoz,Dakar",8500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c1fecefee8c1facf4e52db4374079cd/-/horizon-files-prod/ed/picture/q0gg4ppx/ddde36b2dd6caef7ac3543fa2303dac3f94ea69e.jpg
Occasion,Citroen,2022,Manuelle,"Hann Bel-Air,Dakar",9000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c506e46867a6307d3fa804cc4846cc76/-/horizon-files-prod/ed/picture/qxj25pmw/5e9821da37e09741884f50615c8f2b4addfde671.png
Occasion,Mitsubishi,2015,Automatique,"Colobane,Dakar",6950000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e2848dae56ab13b61206fc341974cc81/-/horizon-files-prod/ed/picture/q785g6xq/9ca79093547b40cbdaef23512d0093279be2423a.jpg
Occasion,Hyundai,2015,Automatique,"Colobane,Dakar",8400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/635e2b9d0723a8729fa6d7b737a6c0f4/-/horizon-files-prod/ed/picture/qpd68rvq/70cefd66c684791eb459a9ac22d924eae5b7ee6c.jpg
Venant,Peugeot,2015,Manuelle,"Yoff,Dakar",6000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/11b1b5e5b1b41e3c2c25778e56bf3876/-/horizon-files-prod/ed/picture/q56x4mr5/92410a4095b3ba40a7be231b8e2f015839ad7826.jpg
Venant,Mazda,2017,Automatique,"Point-e,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c62af158f5bac41dc9353476fe0d0c5/-/horizon-files-prod/ed/picture/qxj2w4nn/10ce6c8bfa714c1ecd94c1c953835f992e771cfd.jpg
Venant,Kia,2015,Automatique,"VDN,Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c883555400d27581da12d9c14da34975/-/horizon-files-prod/ed/picture/qkr5e0nv/74a87bfe5964d3bf3a312ba544b6715915badb9a.jpg
Occasion,Ford,2012,Automatique,"Sacré-cœur,Dakar",5900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c3612da75c9ab5ea572cedbc662f9e66/-/horizon-files-prod/ed/picture/q785g5zg/14a91b0a576555958fb0f65a895fac289a069e7b.jpg
Venant,Citroen,2015,Automatique,"Mermoz,Dakar",8999750,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8352fcafea0e16a60ea87c76d493c699/-/horizon-files-prod/ed/picture/qgq95wjk/dd556ead9f492eb42893cbafd5860d7541392c34.jpg
Occasion,Citroen,2014,Automatique,"Sacré-cœur,Dakar",4399750,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a048854ab9c8713149934b40b5df8f0a/-/horizon-files-prod/ed/picture/q6x67ge6/270d5b1e1e2c7f08eac29cc6a0d9d7a1e32bda55.jpg
Occasion,Kia,2012,Manuelle,"Hlm,Dakar",3700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa02fe26ba44826f0d922f2f3ef085e9/-/horizon-files-prod/ed/picture/qgq984mm/5e7217bcef8962ed1f05ce0bd8c2076f30944b08.jpg
Venant,Kia,2015,Automatique,"Almadies,Dakar",8900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/60d4f1dcade8561c9e9d9c6d118b469b/-/horizon-files-prod/ed/picture/q6x644dn/8919a97aba3108a13f1d8ec61946455d67f87e66.jpg
Occasion,Toyota,2012,Automatique,"Liberte 6,Dakar",5750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1674a3a91b6762c43687da43c5e07901/-/horizon-files-prod/ed/picture/qq476gw7/af6798e10b9a14901b77d2d0855ca0b9580a11c4.jpg
Occasion,Ford,2012,Automatique,"Liberte 6,Dakar",5350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/61bb0dcead67d4f5ef4a4a014291deb3/-/horizon-files-prod/ed/picture/q56xgvdx/247818528a027f6a895363a43110b3c5dac6d694.jpg
Neuf,Hyundai,2016,Automatique,"Cité Damel,Dakar",13800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f524cc6539c42743695589f922277f2/-/horizon-files-prod/ed/picture/q9m9m28n/b5e45f8c315159f5d5bdf54726b995f2220e46c1.jpg
Neuf,Ford,2015,Automatique,"Cité Damel,Dakar",12000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6696e5228ff3d3bd709e679a30ca5202/-/horizon-files-prod/ed/picture/q9m9rm7w/aa8e205d0f298e83a1e8b485cb011be50edc6d68.jpg
Venant,Hyundai,2015,Automatique,"Mamelles,Dakar",11000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d8a921d10f2b54b65b02d1b0808f75f6/-/horizon-files-prod/ed/picture/q44850q4/4957e286e1266f12a51085132657ab12ccb0530a.jpg
Occasion,Ford,2013,Automatique,"Cité keur gorgui,Dakar",4700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b88947c83379e42bb0a26736221c4855/-/horizon-files-prod/ed/picture/qq476krj/104e94a682507ef56f3898f6169d30cdc0cb90be.jpg
Venant,Ford,2018,Automatique,"Nord foire,Dakar",13000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a6838087e0b005871fc24ca2db8d7940/-/horizon-files-prod/ed/picture/qxj2qr7m/47317b6ca30c43e6f8623df4f153b7b09e0084a0.jpg
Neuf,Ford,2016,Automatique,"Cité Damel,Dakar",13000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b7d0416fd530a74b33c54e35afe102e/-/horizon-files-prod/ed/picture/qwe2rgdj/0cc3ed6ca5df9a21093ef5d2e25e69511b6d0547.jpg
Occasion,Ford,2017,Automatique,"VDN,Dakar",8800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/56c5f1c946f85b5d37c7a5ccda4107c2/-/horizon-files-prod/ed/picture/qkrg0j6z/a4cb3a01b426b3f7f933026ec4fa026979995203.jpg
Occasion,Kia,2014,Automatique,"VDN,Dakar",4500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/307e309e6d02f55c9812c4aafe9a18d5/-/horizon-files-prod/ed/picture/qq47592j/53bc29be3996a36f9f7e1e186eec6ce30f96f2de.jpg
Neuf,Mitsubishi,2017,Automatique,"Mermoz,Dakar",16500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ee0a9dfe2de835c23fe88cd2ad9f884/-/horizon-files-prod/ed/picture/q56xdkp0/2b2261cedbcba9bac38837b5359234b796767c6e.jpg
Venant,Nissan,2020,Automatique,"VDN,Dakar",11500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/340640c827d2c40c3857aaef8b743cff/-/horizon-files-prod/ed/picture/qkrg8z7v/106facb562551008688bd4e190a7544971c1fd4f.jpg
Occasion,Kia,2017,Manuelle,"Fann,Dakar",4500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/05950532646eb18460129efe0490f29b/-/horizon-files-prod/ed/picture/q0gw95jk/9f76bc12d46188cfdfa0b2f4ffe4b8609f3770ea.jpg
Occasion,Ford,2016,Automatique,"Almadies,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a1608633d6bf318a3131ac995523dd1d/-/horizon-files-prod/ed/picture/qdekd0v7/e59fd75547ab59d58a447467cfe82f9da11416e6.jpg
Venant,BMW,2015,Automatique,"Avenue Bourguiba,Dakar",13800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/15fc6bc2a26d10032c2dab24619334a0/-/horizon-files-prod/ed/picture/q6xkxmdn/907bc4fcf185716e573f04c2336364a8c7eca0e2.jpg
Venant,Kia,2016,Automatique,"Avenue Bourguiba,Dakar",10800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/259227c0d00412c78f8f996bd5099a97/-/horizon-files-prod/ed/picture/qq47d45e/9b80a1958d302d9bbb465c4464890aa83d7e4a2f.jpg
Occasion,BMW,2010,Manuelle,"Colobane,Dakar",2450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b46087814857d92f38b8ec593c7d9a2/-/horizon-files-prod/ed/picture/q9m9g9gw/ac9ef3f5e11771053694d05fa87fd570079ed8f2.jpg
Occasion,Renault,2010,Manuelle,"Parcelles Assainies,Dakar",1950000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b009072d14ac914c886cde7af66a498e/-/horizon-files-prod/ed/picture/qdeknn5j/f92de062078ffe2b3833b5f3b83e7191125dcf44.jpg
Occasion,Hyundai,2013,Automatique,"Mermoz,Dakar",4400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac6597fa3b6e5540b71645377dc7ce92/-/horizon-files-prod/ed/picture/qm5pn2kg/791a5753e04a1c2dcecd4b872c92de40fd8404a9.jpg
Venant,Ford,2015,Automatique,"Fenêtre mermoz,Dakar",12000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47e16003aa4b20a8d113380e8ea6444b/-/horizon-files-prod/ed/picture/qrzv7dmn/83f38a906505e6bbd064ffc72567a8fee387191d.jpg
Neuf,Hyundai,2013,Automatique,"Mermoz,Dakar",6700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dd8f8f18bbe530b36d4f3127aea6ef63/-/horizon-files-prod/ed/picture/qj4rz54e/27a9e623aa6e75164648e92f8723829aaff21776.jpg
Occasion,Ford,2014,Automatique,"Colobane,Dakar",5200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/10479168fc690c5972b7d52b818aade5/-/horizon-files-prod/ed/picture/qwe2w6nd/7eaa54183c9fbf6b3757c6dbed35eba52a6b28ff.jpg
Venant,Ford,2017,Automatique,"Almadies 2,Dakar",7800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1355e38022aad9a6999cd4e0345e9f6d/-/horizon-files-prod/ed/picture/qj4r6nw8/37d6b07518ec2c1eb9aa2080f0085c22f9a2ca5b.jpg
Venant,Range Rover,2016,Automatique,"Liberte 6,Dakar",28000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/856083937cf2d409da2574cc1fae57db/-/horizon-files-prod/ed/picture/q0gw9zmm/c8e793d3b0fd866798209b4445d77e7dbb940025.jpg
Occasion,Renault,2013,Manuelle,"Keur Massar,Dakar",4200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62f3be1d0240760ad4f807bf6d37ec9d/-/horizon-files-prod/ed/picture/qkrgx9gm/2e3a080bd3a439bafcc5faa2d3b6a527a6ac3639.jpg
Venant,Dacia,2015,Manuelle,"Keur Massar,Dakar",2700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/88be1eb2fb71ae4dd43b628f15ec32f9/-/horizon-files-prod/ed/picture/qv4ez8vj/b366747d348fbd616268baf0fb62d04ed65b109c.jpg
Réconditionné,Ford,2014,Automatique,"Almadies 2,Dakar",6200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/67f0a8ca7d6c55aacc4f11f64a6bb5d0/-/horizon-files-prod/ed/picture/qxj2qx6v/768477ff36db50f62155391cd3d0c2e7154e5b49.jpg
Occasion,Toyota,2009,Automatique,"Sacré-cœur,Dakar",8500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2986825177a0b2ec2d1dfc13b0990cb7/-/horizon-files-prod/ed/picture/qxj22rzn/258bb17da3353b9a70070ed077c90662ebae67ad.jpg
Venant,Mercedes-Benz,2015,Automatique,"Liberte 6,Dakar",8600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/36f605ee82d8df21809d169a9d680b9a/-/horizon-files-prod/ed/picture/q0gwdqmj/525ae13b7d898a42d952e5d3045a1886f2a1fdc7.jpg
Neuf,Hyundai,2016,Automatique,"Sacré-cœur,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1769a5fdbc9d9688936123be4cfa3085/-/horizon-files-prod/ed/picture/q6x62xnj/44e3317060ad046a85faacb09c85f575b5ce418c.jpg
Occasion,Mercedes-Benz,2015,Automatique,"Cité Damel,Dakar",13000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b65280d5e836ff85b40c445b39de14b/-/horizon-files-prod/ed/picture/qdek26qw/a8763325a8a770e3dd64c2ff7bb997e348f4b78c.jpg
Neuf,Mitsubishi,2017,Automatique,"VDN,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b366b34c739fc1eb0c7e569ac90599e2/-/horizon-files-prod/ed/picture/q9m9g4e6/33dc8aee99f9a8efd02cff5b495aace45c0b0cc6.jpg
Neuf,Toyota,2016,Automatique,"VDN,Dakar",25000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1afe9e785bf5f1f1b63f257af162da4f/-/horizon-files-prod/ed/picture/qngxwwkm/4f71fe7837650b80405d66bb26aaf5498160d24c.jpg
Occasion,Kia,2013,Automatique,"VDN,Dakar",8999999,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6452f1a117749d2c2ad2676ebf524ad/-/horizon-files-prod/ed/picture/q448pk8e/c42ea3e6fdac3a82818be6492df7b53e0aefbdac.jpg
Neuf,Ford,2017,Automatique,"Cité Damel,Dakar",9900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/014a472b88d11ef2a387d1831b7b9f00/-/horizon-files-prod/ed/picture/qxj2qemw/29bbce5968f371d08ee0af0503cd9ad3b257cd32.jpg
Occasion,Kia,2012,Automatique,"Liberte 6,Dakar",4000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62c8ad397af951973eaabe1b3a483438/-/horizon-files-prod/ed/picture/qkrg09n2/e52be1b455a69bceaeeadb9f9d70d764d41eda8f.jpg
Venant,Hyundai,2017,Automatique,"Nord foire,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9600fed6299ff465a1a52549cac5ea6/-/horizon-files-prod/ed/picture/q6xkq0e7/018c9bdc77fbf17adc8c5830ccd32199e3ff2167.jpg
Venant,Mercedes-Benz,2020,Automatique,"Liberte 6,Dakar",62000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea234c9268bb1ce6d2446346fbddcf32/-/horizon-files-prod/ed/picture/q0g2m8ne/cc5696403b47e51d16b5f230624adaa54979333e.jpg
Venant,Peugeot,2015,Automatique,"Parcelles Assainies,Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c949f8e247f9917e347dcb1e01ccde4/-/horizon-files-prod/ed/picture/qkrg0402/7a6829883c14c12b816519a82e0fca394a584d97.jpg
Venant,Honda,2019,Automatique,"Thiès,Thiès",18500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9eb34e9ae40b01ef149eb3f3ef4922e/-/horizon-files-prod/ed/picture/qzvdj87g/4d3f2cf4a2c1cae7e3b3cb8a9421dd14ae268b3f.jpg
Venant,Ford,2018,Automatique,"Almadies 2,Dakar",27000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65bcf7468e0ac3a6774a84b659736bcf/-/horizon-files-prod/ed/picture/qpd6jj4j/0c479a750afe62b5121cca532111a1f27c7d8869.jpg
Venant,Hyundai,2016,Automatique,"Ouest foire,Dakar",6300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c70e352b950a3520fba643b22498f92c/-/horizon-files-prod/ed/picture/q9m9wmj7/eb508ff60cff1d5ff8344cabd42c8c86c4d29eab.jpg
Venant,Chevrolet,2018,Automatique,"Almadies,Dakar",10800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/91ae08860d9045b0ae899be80b99d273/-/horizon-files-prod/ed/picture/q785jvme/18c6362fd5882ed840f12d6b2ab1be242baabc22.jpg
Occasion,Mitsubishi,2009,Manuelle,"Almadies,Dakar",7500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4632444217c98ac91d0b25bbafce5b98/-/horizon-files-prod/ed/picture/qzvdx0mk/adbd68141e69f137ce7764be41c8a33784399602.jpg
Venant,Chevrolet,2016,Automatique,"Almadies,Dakar",8500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a479fa4fd85b32a1bd347ade68a93a97/-/horizon-files-prod/ed/picture/q9m9grdn/7350542b33b3c8d0ffdeb1a24eade2dee99d60c6.jpg
Occasion,Ford,2013,Automatique,"Colobane,Dakar",2950000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8063a61d49d72008066e2e8189a38588/-/horizon-files-prod/ed/picture/q6xk5k5n/ffbfddc78754fecc79e0d6db136f969ff23f957e.jpg
Occasion,Mitsubishi,2019,Manuelle,"Mbour,Thiès",9980000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4fce8a638cf88a5b5671d2dc97b2b7e/-/horizon-files-prod/ed/picture/q9m9w8pv/5a8ea54b40efad38ac5637fa0bccd270bf2e013d.jpg
Venant,Chevrolet,2013,Automatique,"Colobane,Dakar",4650000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b05ed6a455a1528a00e66fcf2955d91f/-/horizon-files-prod/ed/picture/q4487jke/6dba49cfdc2146b973c74cb3a3823aa1af73d04b.jpg
Venant,Mitsubishi,2017,Automatique,"Sacré-cœur,Dakar",12900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/542202a30bc6a68e4b1b1c402a0d3526/-/horizon-files-prod/ed/picture/qrzvq8wm/745322f242947e4361b3cab598cf664c7fd7f0e0.jpg
Occasion,Citroen,2020,Automatique,"Hann Bel-Air,Dakar",13500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/092589fcfa1f4cf7a8d305ca18ead3e9/-/horizon-files-prod/ed/picture/q8v5n5xx/8f8aa426c5253f60e818b8f0b5e17d5040e05783.jpg
